u; threshold; nb iterations per decoding; nb decoding; nb good decoding; rate of good decoding; nb bad decoding; (*); (**)
34 ; 540 ; 115 ; 347 ; 225 ; 0.6484149855907781 ; 122 ; 94 ; 35
34 ; 540 ; 135 ; 296 ; 206 ; 0.6959459459459459 ; 90 ; 60 ; 35
34 ; 540 ; 155 ; 258 ; 182 ; 0.7054263565891473 ; 76 ; 47 ; 33
34 ; 540 ; 175 ; 228 ; 164 ; 0.7192982456140351 ; 64 ; 37 ; 34
34 ; 540 ; 195 ; 205 ; 153 ; 0.7463414634146341 ; 52 ; 22 ; 34
34 ; 540 ; 215 ; 186 ; 130 ; 0.6989247311827957 ; 56 ; 26 ; 33
34 ; 540 ; 235 ; 170 ; 124 ; 0.7294117647058823 ; 46 ; 18 ; 33
34 ; 540 ; 255 ; 156 ; 115 ; 0.7371794871794872 ; 41 ; 12 ; 31
34 ; 540 ; 275 ; 145 ; 107 ; 0.7379310344827587 ; 38 ; 4 ; 34
34 ; 540 ; 295 ; 135 ; 99 ; 0.7333333333333333 ; 36 ; 4 ; 32
34 ; 540 ; 315 ; 126 ; 91 ; 0.7222222222222222 ; 35 ; 3 ; 32
34 ; 570 ; 115 ; 347 ; 224 ; 0.6455331412103746 ; 123 ; 117 ; 7
34 ; 570 ; 135 ; 296 ; 208 ; 0.7027027027027027 ; 88 ; 82 ; 7
34 ; 570 ; 155 ; 258 ; 185 ; 0.7170542635658915 ; 73 ; 66 ; 7
34 ; 570 ; 175 ; 228 ; 174 ; 0.7631578947368421 ; 54 ; 49 ; 7
34 ; 570 ; 195 ; 205 ; 167 ; 0.8146341463414634 ; 38 ; 31 ; 7
34 ; 570 ; 215 ; 186 ; 148 ; 0.7956989247311828 ; 38 ; 32 ; 7
34 ; 570 ; 235 ; 170 ; 142 ; 0.8352941176470589 ; 28 ; 22 ; 7
34 ; 570 ; 255 ; 156 ; 128 ; 0.8205128205128205 ; 28 ; 21 ; 7
34 ; 570 ; 275 ; 145 ; 127 ; 0.8758620689655172 ; 18 ; 11 ; 7
34 ; 570 ; 295 ; 135 ; 119 ; 0.8814814814814815 ; 16 ; 9 ; 7
34 ; 570 ; 315 ; 126 ; 114 ; 0.9047619047619048 ; 12 ; 5 ; 7
