|e_P|;	|e_N|;	N;	theoretical bias;	practical bias;	position of e_P in L;	\hat{f}(e_P);	\hat{f}(L[0]);	\hat{f}(L[1])
11;	1212;	1030956;	0.496843;	0.497280;	0;	2843;	2843;	2507
7;	1216;	1031039;	0.496980;	0.497239;	0;	2903;	2903;	2479
12;	1211;	1031221;	0.496808;	0.497427;	0;	2708;	2708;	2660
11;	1212;	1031452;	0.496843;	0.496053;	0;	4025;	4025;	2627
16;	1207;	1031350;	0.496666;	0.496165;	0;	3814;	3814;	2414
11;	1212;	1031247;	0.496843;	0.496775;	0;	3282;	3282;	2730
11;	1212;	1031387;	0.496843;	0.497057;	0;	2993;	2993;	2551
9;	1214;	1031375;	0.496912;	0.497572;	1;	2517;	2519;	2517
7;	1216;	1031294;	0.496980;	0.496471;	0;	3695;	3695;	2459
10;	1213;	1031461;	0.496878;	0.497799;	7;	2234;	2614;	2382
7;	1216;	1031204;	0.496980;	0.496702;	0;	3397;	3397;	2397
10;	1213;	1031240;	0.496878;	0.496334;	0;	3800;	3800;	2608
7;	1216;	1031246;	0.496980;	0.497241;	0;	2820;	2820;	2412
8;	1215;	1031098;	0.496946;	0.497186;	0;	2924;	2924;	2786
6;	1217;	1031196;	0.497014;	0.497324;	0;	2798;	2798;	2432
7;	1216;	1031327;	0.496980;	0.496076;	0;	3963;	3963;	2499
9;	1214;	1031054;	0.496912;	0.497473;	0;	2680;	2680;	2468
9;	1214;	1031344;	0.496912;	0.496424;	0;	3721;	3721;	2309
8;	1215;	1031124;	0.496946;	0.496722;	0;	3459;	3459;	2339
9;	1214;	1031207;	0.496912;	0.497363;	0;	2749;	2749;	2479
7;	1216;	1031378;	0.496980;	0.496671;	0;	3487;	3487;	2489
7;	1216;	1031150;	0.496980;	0.496823;	0;	3314;	3314;	2498
10;	1213;	1031369;	0.496878;	0.497097;	0;	2979;	2979;	2483
13;	1210;	1031087;	0.496773;	0.497470;	0;	2580;	2580;	2338
8;	1215;	1031217;	0.496946;	0.496914;	0;	3213;	3213;	2633
6;	1217;	1031186;	0.497014;	0.496649;	0;	3505;	3505;	2409
13;	1210;	1031228;	0.496773;	0.496930;	0;	3149;	3149;	2535
8;	1215;	1031231;	0.496946;	0.496308;	0;	3779;	3779;	2517
6;	1217;	1031142;	0.497014;	0.496978;	0;	3136;	3136;	2350
12;	1211;	1031399;	0.496808;	0.496248;	0;	3904;	3904;	2492
14;	1209;	1031247;	0.496738;	0.495700;	0;	4442;	4442;	2754
8;	1215;	1031435;	0.496946;	0.497006;	0;	3127;	3127;	2323
4;	1219;	1031149;	0.497080;	0.496629;	0;	3462;	3462;	2538
8;	1215;	1031113;	0.496946;	0.496157;	0;	4048;	4048;	2480
7;	1216;	1031230;	0.496980;	0.496578;	0;	3536;	3536;	2688
10;	1213;	1031448;	0.496878;	0.496868;	0;	3268;	3268;	2484
11;	1212;	1031326;	0.496843;	0.496989;	0;	3042;	3042;	2450
7;	1216;	1031414;	0.496980;	0.496386;	0;	3721;	3721;	2651
5;	1218;	1030949;	0.497047;	0.497407;	0;	2639;	2639;	2401
7;	1216;	1031306;	0.496980;	0.497388;	0;	2692;	2692;	2482
8;	1215;	1031180;	0.496946;	0.496399;	0;	3625;	3625;	2403
6;	1217;	1031295;	0.497014;	0.496692;	0;	3391;	3391;	2543
10;	1213;	1031228;	0.496878;	0.496275;	0;	3866;	3866;	2448
5;	1218;	1031220;	0.497047;	0.496908;	0;	3187;	3187;	2495
9;	1214;	1031258;	0.496912;	0.497376;	0;	2744;	2744;	2486
10;	1213;	1031195;	0.496878;	0.497393;	0;	2643;	2643;	2553
7;	1216;	1031398;	0.496980;	0.497079;	0;	3059;	3059;	2347
9;	1214;	1031393;	0.496912;	0.497593;	0;	2438;	2438;	2436
9;	1214;	1031189;	0.496912;	0.497599;	1;	2454;	2574;	2454
8;	1215;	1031283;	0.496946;	0.496098;	0;	4001;	4001;	2509
9;	1214;	1031184;	0.496912;	0.495979;	0;	4236;	4236;	2512
10;	1213;	1031093;	0.496878;	0.497367;	0;	2694;	2694;	2470
5;	1218;	1031152;	0.497047;	0.496859;	0;	3353;	3353;	2791
11;	1212;	1031360;	0.496843;	0.495837;	0;	4312;	4312;	2386
8;	1215;	1031247;	0.496946;	0.496674;	0;	3382;	3382;	2574
9;	1214;	1031203;	0.496912;	0.496780;	0;	3335;	3335;	2589
11;	1212;	1031123;	0.496843;	0.496282;	0;	3915;	3915;	2485
5;	1218;	1031255;	0.497047;	0.497352;	0;	2654;	2654;	2358
10;	1213;	1031426;	0.496878;	0.496551;	0;	3616;	3616;	2384
10;	1213;	1031218;	0.496878;	0.497237;	0;	2921;	2921;	2385
9;	1214;	1031149;	0.496912;	0.496873;	0;	3219;	3219;	2417
9;	1214;	1031060;	0.496912;	0.496800;	0;	3234;	3234;	2410
8;	1215;	1031039;	0.496946;	0.497397;	0;	2648;	2648;	2462
5;	1218;	1031132;	0.497047;	0.496898;	0;	3211;	3211;	2493
4;	1219;	1031123;	0.497080;	0.496406;	0;	3650;	3650;	2566
11;	1212;	1031258;	0.496843;	0.497272;	0;	2733;	2733;	2621
11;	1212;	1031406;	0.496843;	0.497407;	0;	2679;	2679;	2397
10;	1213;	1031327;	0.496878;	0.496617;	0;	3577;	3577;	2443
7;	1216;	1031299;	0.496980;	0.498254;	190;	1823;	2483;	2357
8;	1215;	1031100;	0.496946;	0.496338;	0;	3805;	3805;	2505
12;	1211;	1031498;	0.496808;	0.496297;	0;	3844;	3844;	2638
3;	1220;	1031446;	0.497113;	0.497074;	0;	3039;	3039;	2421
3;	1220;	1031362;	0.497113;	0.496528;	0;	3681;	3681;	2657
10;	1213;	1031346;	0.496878;	0.497420;	0;	2648;	2648;	2566
12;	1211;	1031387;	0.496808;	0.496802;	0;	3238;	3238;	2556
7;	1216;	1031117;	0.496980;	0.497613;	0;	2426;	2426;	2400
12;	1211;	1031290;	0.496808;	0.496969;	0;	3137;	3137;	2379
11;	1212;	1031207;	0.496843;	0.497769;	1;	2385;	2727;	2385
5;	1218;	1031307;	0.497047;	0.497880;	16;	2123;	2417;	2379
10;	1213;	1031198;	0.496878;	0.497626;	3;	2457;	2759;	2649
9;	1214;	1031200;	0.496912;	0.496951;	0;	3181;	3181;	2555
10;	1213;	1031120;	0.496878;	0.496999;	0;	3117;	3117;	2651
12;	1211;	1031005;	0.496808;	0.497030;	0;	3022;	3022;	2410
8;	1215;	1031118;	0.496946;	0.498001;	38;	2028;	2560;	2258
5;	1218;	1031457;	0.497047;	0.497926;	14;	2154;	2460;	2356
10;	1213;	1031125;	0.496878;	0.496924;	0;	3205;	3205;	2561
10;	1213;	1031147;	0.496878;	0.496695;	0;	3565;	3565;	2639
12;	1211;	1031189;	0.496808;	0.496586;	0;	3528;	3528;	2516
8;	1215;	1031126;	0.496946;	0.497188;	0;	2875;	2875;	2347
5;	1218;	1031367;	0.497047;	0.497424;	0;	2725;	2725;	2647
7;	1216;	1031125;	0.496980;	0.497830;	15;	2154;	2462;	2284
5;	1218;	1031280;	0.497047;	0.496650;	0;	3356;	3356;	2508
7;	1216;	1031256;	0.496980;	0.496780;	0;	3357;	3357;	2339
2;	1221;	1031254;	0.497146;	0.497576;	0;	2562;	2562;	2456
8;	1215;	1031083;	0.496946;	0.497084;	0;	3107;	3107;	2523
9;	1214;	1031292;	0.496912;	0.497747;	6;	2236;	2462;	2410
8;	1215;	1031272;	0.496946;	0.497263;	0;	2792;	2792;	2394
8;	1215;	1031033;	0.496946;	0.495847;	0;	4360;	4360;	2602
7;	1216;	1031272;	0.496980;	0.496728;	0;	3296;	3296;	2948
8;	1215;	1031024;	0.496946;	0.496686;	0;	3360;	3360;	2380
11;	1212;	1031423;	0.496843;	0.497456;	0;	2675;	2675;	2619
10;	1213;	1031224;	0.496878;	0.497634;	2;	2464;	2818;	2516
7;	1216;	1031354;	0.496980;	0.497491;	0;	2648;	2648;	2430
9;	1214;	1031197;	0.496912;	0.497984;	51;	1988;	2590;	2504
7;	1216;	1031257;	0.496980;	0.497777;	3;	2312;	2412;	2392
7;	1216;	1031531;	0.496980;	0.496104;	0;	4103;	4103;	2603
7;	1216;	1031274;	0.496980;	0.497724;	2;	2354;	2794;	2418
6;	1217;	1031163;	0.497014;	0.496488;	0;	3634;	3634;	2330
12;	1211;	1031573;	0.496808;	0.496629;	0;	3421;	3421;	2579
7;	1216;	1031005;	0.496980;	0.497625;	3;	2405;	2497;	2431
9;	1214;	1031514;	0.496912;	0.497165;	0;	2859;	2859;	2601
7;	1216;	1031386;	0.496980;	0.497361;	0;	2734;	2734;	2392
8;	1215;	1031107;	0.496946;	0.497305;	0;	2795;	2795;	2295
7;	1216;	1031115;	0.496980;	0.497758;	0;	2381;	2381;	2357
4;	1219;	1031245;	0.497080;	0.497414;	0;	2640;	2640;	2556
8;	1215;	1031209;	0.496946;	0.496960;	0;	3054;	3054;	2702
7;	1216;	1031186;	0.496980;	0.497062;	0;	3040;	3040;	2852
5;	1218;	1031364;	0.497047;	0.496552;	0;	3625;	3625;	2805
6;	1217;	1031394;	0.497014;	0.497436;	0;	2607;	2607;	2533
8;	1215;	1031233;	0.496946;	0.496554;	0;	3565;	3565;	2473
7;	1216;	1031283;	0.496980;	0.496405;	0;	3708;	3708;	2608
5;	1218;	1031368;	0.497047;	0.497274;	0;	2802;	2802;	2408
7;	1216;	1031255;	0.496980;	0.497064;	0;	3002;	3002;	2254
6;	1217;	1031175;	0.497014;	0.497252;	0;	2728;	2728;	2458
8;	1215;	1031213;	0.496946;	0.498019;	69;	1970;	2510;	2460
9;	1214;	1031382;	0.496912;	0.496935;	0;	3195;	3195;	2455
5;	1218;	1031209;	0.497047;	0.497501;	0;	2561;	2561;	2343
10;	1213;	1031481;	0.496878;	0.497261;	0;	2855;	2855;	2561
10;	1213;	1031431;	0.496878;	0.496930;	0;	3258;	3258;	2374
11;	1212;	1031321;	0.496843;	0.497748;	6;	2385;	2505;	2475
9;	1214;	1031212;	0.496912;	0.495915;	0;	4154;	4154;	2464
6;	1217;	1031457;	0.497014;	0.496733;	0;	3444;	3444;	2748
8;	1215;	1031269;	0.496946;	0.497239;	0;	2830;	2830;	2614
10;	1213;	1031304;	0.496878;	0.497180;	0;	2926;	2926;	2504
7;	1216;	1031277;	0.496980;	0.497195;	0;	2955;	2955;	2505
6;	1217;	1031385;	0.497014;	0.496530;	0;	3545;	3545;	2547
5;	1218;	1031145;	0.497047;	0.496881;	0;	3347;	3347;	2509
9;	1214;	1030969;	0.496912;	0.496829;	0;	3257;	3257;	2419
12;	1211;	1031184;	0.496808;	0.497201;	0;	2905;	2905;	2485
12;	1211;	1031249;	0.496808;	0.496408;	0;	3679;	3679;	2679
9;	1214;	1031261;	0.496912;	0.496549;	0;	3669;	3669;	2471
8;	1215;	1031163;	0.496946;	0.496468;	0;	3718;	3718;	2370
13;	1210;	1031398;	0.496773;	0.497236;	0;	2962;	2962;	2478
11;	1212;	1031379;	0.496843;	0.496401;	0;	3725;	3725;	2637
8;	1215;	1031239;	0.496946;	0.497488;	0;	2657;	2657;	2537
8;	1215;	1031400;	0.496946;	0.496548;	0;	3570;	3570;	2282
7;	1216;	1031305;	0.496980;	0.497137;	0;	2925;	2925;	2357
5;	1218;	1031033;	0.497047;	0.498205;	158;	1864;	2420;	2346
6;	1217;	1031081;	0.497014;	0.497425;	0;	2634;	2634;	2536
6;	1217;	1031195;	0.497014;	0.497896;	5;	2227;	2465;	2313
13;	1210;	1031147;	0.496773;	0.495913;	0;	4162;	4162;	2412
7;	1216;	1031221;	0.496980;	0.496544;	0;	3558;	3558;	2478
9;	1214;	1031050;	0.496912;	0.496637;	0;	3429;	3429;	2707
9;	1214;	1031347;	0.496912;	0.497439;	0;	2701;	2701;	2383
8;	1215;	1031124;	0.496946;	0.497133;	0;	3057;	3057;	2469
8;	1215;	1031128;	0.496946;	0.497039;	0;	3079;	3079;	2403
7;	1216;	1031441;	0.496980;	0.497217;	0;	2964;	2964;	2366
8;	1215;	1031236;	0.496946;	0.497031;	0;	3064;	3064;	2430
9;	1214;	1031379;	0.496912;	0.496601;	0;	3588;	3588;	2714
9;	1214;	1031434;	0.496912;	0.497012;	0;	3092;	3092;	2382
11;	1212;	1030909;	0.496843;	0.497415;	0;	2719;	2719;	2445
7;	1216;	1031377;	0.496980;	0.497634;	3;	2408;	2490;	2436
10;	1213;	1030998;	0.496878;	0.496949;	0;	3225;	3225;	2549
8;	1215;	1031266;	0.496946;	0.496300;	0;	3815;	3815;	2399
8;	1215;	1031425;	0.496946;	0.496970;	0;	3214;	3214;	2466
8;	1215;	1031417;	0.496946;	0.497727;	3;	2259;	2421;	2389
8;	1215;	1031243;	0.496946;	0.496868;	0;	3233;	3233;	2617
8;	1215;	1031020;	0.496946;	0.497505;	0;	2587;	2587;	2439
6;	1217;	1031252;	0.497014;	0.497278;	0;	2839;	2839;	2583
8;	1215;	1031266;	0.496946;	0.497035;	0;	2925;	2925;	2577
7;	1216;	1031342;	0.496980;	0.497477;	0;	2612;	2612;	2340
10;	1213;	1031201;	0.496878;	0.497156;	0;	2935;	2935;	2513
10;	1213;	1031426;	0.496878;	0.496990;	0;	3108;	3108;	2686
7;	1216;	1031190;	0.496980;	0.496951;	0;	3085;	3085;	2751
8;	1215;	1031123;	0.496946;	0.496925;	0;	3147;	3147;	2369
5;	1218;	1031402;	0.497047;	0.496759;	0;	3362;	3362;	2824
11;	1212;	1031199;	0.496843;	0.496788;	0;	3304;	3304;	2386
9;	1214;	1031368;	0.496912;	0.497461;	0;	2683;	2683;	2439
5;	1218;	1031524;	0.497047;	0.497775;	11;	2227;	2601;	2419
6;	1217;	1031183;	0.497014;	0.497520;	0;	2504;	2504;	2452
7;	1216;	1031155;	0.496980;	0.497721;	7;	2342;	2444;	2438
7;	1216;	1031231;	0.496980;	0.496162;	0;	3942;	3942;	2656
5;	1218;	1031423;	0.497047;	0.496953;	0;	3102;	3102;	2288
8;	1215;	1031098;	0.496946;	0.496311;	0;	3758;	3758;	2518
10;	1213;	1031035;	0.496878;	0.497519;	0;	2616;	2616;	2600
5;	1218;	1031286;	0.497047;	0.497126;	0;	3000;	3000;	2462
11;	1212;	1031117;	0.496843;	0.496814;	0;	3191;	3191;	2463
5;	1218;	1031483;	0.497047;	0.496611;	0;	3474;	3474;	2556
7;	1216;	1031150;	0.496980;	0.497056;	0;	3054;	3054;	2516
8;	1215;	1031312;	0.496946;	0.497513;	0;	2627;	2627;	2425
12;	1211;	1031320;	0.496808;	0.496452;	0;	3607;	3607;	2367
3;	1220;	1031270;	0.497113;	0.497141;	0;	2974;	2974;	2706
8;	1215;	1031053;	0.496946;	0.496885;	0;	3207;	3207;	2431
8;	1215;	1031174;	0.496946;	0.497381;	0;	2698;	2698;	2428
9;	1214;	1031332;	0.496912;	0.496729;	0;	3371;	3371;	2373
10;	1213;	1031318;	0.496878;	0.496131;	0;	3964;	3964;	2834
7;	1216;	1031327;	0.496980;	0.497511;	1;	2612;	2686;	2612
8;	1215;	1031212;	0.496946;	0.496583;	0;	3560;	3560;	2454
10;	1213;	1031010;	0.496878;	0.496993;	0;	3011;	3011;	2593
8;	1215;	1031266;	0.496946;	0.496486;	0;	3683;	3683;	2565
8;	1215;	1031224;	0.496946;	0.497324;	0;	2796;	2796;	2632
3;	1220;	1031266;	0.497113;	0.497372;	0;	2744;	2744;	2404
9;	1214;	1031326;	0.496912;	0.496811;	0;	3342;	3342;	2492
11;	1212;	1031192;	0.496843;	0.496555;	0;	3660;	3660;	2446
7;	1216;	1031166;	0.496980;	0.496659;	0;	3395;	3395;	2471
2;	1221;	1031254;	0.497146;	0.497083;	0;	3100;	3100;	2376
6;	1217;	1031329;	0.497014;	0.496634;	0;	3559;	3559;	2465
7;	1216;	1031347;	0.496980;	0.497604;	4;	2368;	2944;	2572
10;	1213;	1031206;	0.496878;	0.497125;	0;	2966;	2966;	2328
6;	1217;	1031242;	0.497014;	0.497451;	0;	2706;	2706;	2382
11;	1212;	1031376;	0.496843;	0.497120;	0;	3002;	3002;	2628
10;	1213;	1031286;	0.496878;	0.496359;	0;	3792;	3792;	2472
10;	1213;	1031294;	0.496878;	0.495748;	0;	4447;	4447;	2359
8;	1215;	1031274;	0.496946;	0.496571;	0;	3578;	3578;	2318
7;	1216;	1031103;	0.496980;	0.496791;	0;	3166;	3166;	2470
10;	1213;	1031313;	0.496878;	0.496881;	0;	3197;	3197;	2447
9;	1214;	1031373;	0.496912;	0.496940;	0;	3199;	3199;	2317
11;	1212;	1031168;	0.496843;	0.496767;	0;	3361;	3361;	2727
10;	1213;	1031272;	0.496878;	0.496472;	0;	3560;	3560;	2604
9;	1214;	1031069;	0.496912;	0.497683;	3;	2364;	2558;	2394
9;	1214;	1031430;	0.496912;	0.496303;	0;	3864;	3864;	2264
7;	1216;	1031027;	0.496980;	0.496392;	0;	3773;	3773;	2721
13;	1210;	1031303;	0.496773;	0.497290;	0;	2885;	2885;	2301
7;	1216;	1031279;	0.496980;	0.496549;	0;	3498;	3498;	2496
6;	1217;	1031275;	0.497014;	0.497405;	3;	2598;	2972;	2754
4;	1219;	1031243;	0.497080;	0.497389;	0;	2699;	2699;	2459
9;	1214;	1031265;	0.496912;	0.495778;	0;	4392;	4392;	2306
10;	1213;	1031092;	0.496878;	0.496973;	0;	3004;	3004;	2600
10;	1213;	1031513;	0.496878;	0.496414;	0;	3645;	3645;	2433
11;	1212;	1031243;	0.496843;	0.497139;	0;	2989;	2989;	2419
7;	1216;	1031452;	0.496980;	0.496798;	0;	3397;	3397;	3159
8;	1215;	1031210;	0.496946;	0.497356;	1;	2741;	2883;	2741
7;	1216;	1031240;	0.496980;	0.496702;	0;	3322;	3322;	2590
9;	1214;	1031223;	0.496912;	0.498028;	24;	2100;	2858;	2486
11;	1212;	1031243;	0.496843;	0.496511;	0;	3535;	3535;	2715
11;	1212;	1031209;	0.496843;	0.495508;	0;	4654;	4654;	2582
11;	1212;	1031158;	0.496843;	0.496561;	0;	3660;	3660;	2478
9;	1214;	1031297;	0.496912;	0.497149;	0;	2996;	2996;	2394
10;	1213;	1031271;	0.496878;	0.496243;	0;	3847;	3847;	2361
9;	1214;	1031050;	0.496912;	0.496223;	0;	4080;	4080;	2506
5;	1218;	1031093;	0.497047;	0.496567;	0;	3610;	3610;	2644
8;	1215;	1031345;	0.496946;	0.496599;	0;	3506;	3506;	2314
5;	1218;	1031234;	0.497047;	0.496299;	0;	3759;	3759;	2677
9;	1214;	1031411;	0.496912;	0.496884;	0;	3269;	3269;	2597
9;	1214;	1031188;	0.496912;	0.496544;	0;	3583;	3583;	2281
8;	1215;	1031414;	0.496946;	0.497340;	0;	2719;	2719;	2711
9;	1214;	1031278;	0.496912;	0.496899;	0;	3200;	3200;	2838
7;	1216;	1031505;	0.496980;	0.497360;	0;	2837;	2837;	2665
8;	1215;	1031348;	0.496946;	0.496754;	0;	3410;	3410;	2528
8;	1215;	1031096;	0.496946;	0.496715;	0;	3383;	3383;	2643
12;	1211;	1031215;	0.496808;	0.496576;	0;	3540;	3540;	2588
9;	1214;	1031144;	0.496912;	0.497432;	0;	2693;	2693;	2535
6;	1217;	1031307;	0.497014;	0.496800;	0;	3168;	3168;	2594
11;	1212;	1031045;	0.496843;	0.497236;	0;	2889;	2889;	2813
12;	1211;	1031452;	0.496808;	0.497001;	0;	3001;	3001;	2561
8;	1215;	1031298;	0.496946;	0.496327;	0;	3787;	3787;	2633
6;	1217;	1031225;	0.497014;	0.496771;	0;	3221;	3221;	2493
8;	1215;	1031186;	0.496946;	0.497473;	2;	2545;	2819;	2605
12;	1211;	1031169;	0.496808;	0.496311;	0;	3784;	3784;	2370
10;	1213;	1031307;	0.496878;	0.496315;	0;	3857;	3857;	2501
8;	1215;	1031536;	0.496946;	0.497460;	0;	2543;	2543;	2473
8;	1215;	1031228;	0.496946;	0.496440;	0;	3713;	3713;	2375
