|e_P|;	|e_N|;	N;	theoretical bias;	practical bias;	position of e_P in L;	\hat{f}(e_P);	\hat{f}(L[0]);	\hat{f}(L[1])
12;	1211;	1031218;	0.496808;	0.496156;	0;	3932;	3932;	2488
7;	1216;	1031091;	0.496980;	0.497231;	0;	2888;	2888;	2596
9;	1214;	1031525;	0.496912;	0.496139;	0;	3902;	3902;	2418
8;	1215;	1030983;	0.496946;	0.496264;	0;	3887;	3887;	2613
6;	1217;	1031033;	0.497014;	0.496162;	0;	4022;	4022;	2628
11;	1212;	1031053;	0.496843;	0.495600;	0;	4489;	4489;	2467
8;	1215;	1031214;	0.496946;	0.497527;	0;	2537;	2537;	2375
6;	1217;	1031232;	0.497014;	0.497211;	0;	2827;	2827;	2469
8;	1215;	1031328;	0.496946;	0.496908;	0;	3139;	3139;	2689
8;	1215;	1031162;	0.496946;	0.496534;	0;	3665;	3665;	2313
8;	1215;	1031204;	0.496946;	0.496878;	0;	3210;	3210;	2542
9;	1214;	1031604;	0.496912;	0.496503;	0;	3561;	3561;	2563
4;	1219;	1030885;	0.497080;	0.497290;	0;	2765;	2765;	2411
6;	1217;	1031234;	0.497014;	0.497198;	1;	2829;	2975;	2829
6;	1217;	1031312;	0.497014;	0.496732;	0;	3383;	3383;	2367
6;	1217;	1031169;	0.497014;	0.497370;	0;	2723;	2723;	2511
10;	1213;	1031375;	0.496878;	0.496973;	0;	3124;	3124;	2764
7;	1216;	1031227;	0.496980;	0.497781;	4;	2336;	2640;	2536
12;	1211;	1031270;	0.496808;	0.497940;	28;	2103;	2959;	2467
7;	1216;	1031118;	0.496980;	0.497016;	0;	3179;	3179;	3129
5;	1218;	1031219;	0.497047;	0.496639;	0;	3472;	3472;	2432
8;	1215;	1031062;	0.496946;	0.497295;	0;	2769;	2769;	2343
9;	1214;	1031229;	0.496912;	0.497516;	0;	2594;	2594;	2444
8;	1215;	1031314;	0.496946;	0.495881;	0;	4233;	4233;	2487
7;	1216;	1031391;	0.496980;	0.497314;	0;	2687;	2687;	2617
3;	1220;	1031259;	0.497113;	0.497196;	0;	2925;	2925;	2449
7;	1216;	1031233;	0.496980;	0.496318;	0;	3817;	3817;	2631
8;	1215;	1031378;	0.496946;	0.496757;	0;	3282;	3282;	2578
8;	1215;	1031258;	0.496946;	0.496595;	0;	3458;	3458;	2488
9;	1214;	1031072;	0.496912;	0.497552;	0;	2535;	2535;	2415
10;	1213;	1031058;	0.496878;	0.496951;	0;	3092;	3092;	2474
9;	1214;	1031165;	0.496912;	0.497461;	0;	2596;	2596;	2570
4;	1219;	1031096;	0.497080;	0.496384;	0;	3755;	3755;	2613
6;	1217;	1031128;	0.497014;	0.496920;	0;	3286;	3286;	2630
9;	1214;	1031092;	0.496912;	0.496879;	0;	3226;	3226;	2436
8;	1215;	1031523;	0.496946;	0.496513;	0;	3652;	3652;	2368
8;	1215;	1031139;	0.496946;	0.496929;	0;	3194;	3194;	2338
7;	1216;	1031181;	0.496980;	0.496887;	0;	3203;	3203;	2361
8;	1215;	1031288;	0.496946;	0.496891;	0;	3205;	3205;	2757
9;	1214;	1031285;	0.496912;	0.496867;	0;	3244;	3244;	2396
9;	1214;	1031040;	0.496912;	0.496954;	0;	3222;	3222;	2492
7;	1216;	1031264;	0.496980;	0.497287;	0;	2913;	2913;	2421
6;	1217;	1031292;	0.497014;	0.497480;	1;	2564;	2568;	2564
7;	1216;	1031464;	0.496980;	0.496575;	0;	3567;	3567;	2535
10;	1213;	1031368;	0.496878;	0.497130;	0;	2851;	2851;	2783
6;	1217;	1031134;	0.497014;	0.497037;	0;	3098;	3098;	2406
7;	1216;	1031085;	0.496980;	0.497538;	0;	2429;	2429;	2367
14;	1209;	1031210;	0.496738;	0.497129;	1;	3074;	3112;	3074
7;	1216;	1031248;	0.496980;	0.496160;	0;	4071;	4071;	2585
8;	1215;	1031145;	0.496946;	0.496547;	0;	3504;	3504;	2492
7;	1216;	1031511;	0.496980;	0.497384;	1;	2631;	2651;	2631
8;	1215;	1031433;	0.496946;	0.497176;	0;	2937;	2937;	2345
11;	1212;	1031198;	0.496843;	0.497607;	1;	2442;	2552;	2442
8;	1215;	1031108;	0.496946;	0.497217;	0;	2834;	2834;	2512
9;	1214;	1031221;	0.496912;	0.497431;	0;	2743;	2743;	2533
7;	1216;	1030965;	0.496980;	0.496467;	0;	3594;	3594;	2568
5;	1218;	1031447;	0.497047;	0.496366;	0;	3723;	3723;	2655
7;	1216;	1031332;	0.496980;	0.496541;	0;	3485;	3485;	2465
7;	1216;	1031254;	0.496980;	0.497337;	0;	2770;	2770;	2592
10;	1213;	1031198;	0.496878;	0.496944;	0;	3198;	3198;	2434
9;	1214;	1031120;	0.496912;	0.497147;	0;	2925;	2925;	2689
9;	1214;	1031377;	0.496912;	0.497409;	0;	2619;	2619;	2355
6;	1217;	1031497;	0.497014;	0.496234;	0;	3877;	3877;	2555
7;	1216;	1031319;	0.496980;	0.496035;	0;	4014;	4014;	2374
8;	1215;	1031091;	0.496946;	0.497140;	0;	2956;	2956;	2452
10;	1213;	1031141;	0.496878;	0.497201;	0;	2921;	2921;	2491
7;	1216;	1031291;	0.496980;	0.496947;	0;	3048;	3048;	2394
6;	1217;	1031421;	0.497014;	0.497025;	0;	3128;	3128;	2674
6;	1217;	1031182;	0.497014;	0.496922;	0;	3112;	3112;	2616
8;	1215;	1031381;	0.496946;	0.495943;	0;	4187;	4187;	2697
9;	1214;	1031499;	0.496912;	0.496995;	0;	3069;	3069;	2393
8;	1215;	1031291;	0.496946;	0.496537;	0;	3609;	3609;	2523
5;	1218;	1031312;	0.497047;	0.497619;	3;	2453;	2547;	2475
6;	1217;	1031394;	0.497014;	0.496686;	0;	3406;	3406;	2534
11;	1212;	1031489;	0.496843;	0.497116;	0;	2984;	2984;	2392
8;	1215;	1031285;	0.496946;	0.497369;	0;	2642;	2642;	2418
6;	1217;	1031351;	0.497014;	0.497076;	0;	3009;	3009;	2573
8;	1215;	1031209;	0.496946;	0.496599;	0;	3474;	3474;	2470
9;	1214;	1031068;	0.496912;	0.497059;	0;	3025;	3025;	2495
8;	1215;	1031026;	0.496946;	0.497197;	0;	2821;	2821;	2419
11;	1212;	1031002;	0.496843;	0.496684;	0;	3553;	3553;	2375
11;	1212;	1031197;	0.496843;	0.496381;	0;	3712;	3712;	2330
8;	1215;	1031064;	0.496946;	0.497788;	7;	2291;	2555;	2451
6;	1217;	1030973;	0.497014;	0.497548;	1;	2438;	2490;	2438
5;	1218;	1031229;	0.497047;	0.496797;	0;	3321;	3321;	2611
7;	1216;	1031501;	0.496980;	0.497110;	0;	2961;	2961;	2509
10;	1213;	1031377;	0.496878;	0.497551;	0;	2550;	2550;	2384
5;	1218;	1031257;	0.497047;	0.496402;	0;	3747;	3747;	2641
8;	1215;	1031015;	0.496946;	0.496794;	0;	3328;	3328;	2386
7;	1216;	1030988;	0.496980;	0.497434;	1;	2623;	2643;	2623
11;	1212;	1031325;	0.496843;	0.496871;	0;	3208;	3208;	2568
5;	1218;	1031238;	0.497047;	0.496754;	0;	3326;	3326;	2662
7;	1216;	1031361;	0.496980;	0.497074;	0;	3044;	3044;	2392
10;	1213;	1031353;	0.496878;	0.496135;	0;	3935;	3935;	2353
8;	1215;	1031083;	0.496946;	0.496363;	0;	3673;	3673;	2551
5;	1218;	1031243;	0.497047;	0.497792;	2;	2373;	2561;	2443
7;	1216;	1031221;	0.496980;	0.496605;	0;	3488;	3488;	2478
10;	1213;	1031100;	0.496878;	0.496868;	0;	3190;	3190;	2752
7;	1216;	1031153;	0.496980;	0.497008;	0;	3055;	3055;	2613
9;	1214;	1031222;	0.496912;	0.497192;	0;	2904;	2904;	2652
11;	1212;	1031552;	0.496843;	0.495666;	0;	4404;	4404;	2482
7;	1216;	1031250;	0.496980;	0.496965;	0;	3084;	3084;	2536
10;	1213;	1031263;	0.496878;	0.496931;	0;	3069;	3069;	2453
13;	1210;	1031265;	0.496773;	0.496608;	0;	3473;	3473;	2381
8;	1215;	1031266;	0.496946;	0.497009;	0;	3104;	3104;	2470
6;	1217;	1031211;	0.497014;	0.496372;	0;	3839;	3839;	2607
8;	1215;	1031400;	0.496946;	0.495973;	0;	4099;	4099;	2383
6;	1217;	1031357;	0.497014;	0.497151;	0;	2901;	2901;	2475
9;	1214;	1031359;	0.496912;	0.497079;	0;	3028;	3028;	2800
6;	1217;	1031250;	0.497014;	0.497225;	0;	2938;	2938;	2312
11;	1212;	1031330;	0.496843;	0.496233;	0;	3874;	3874;	3014
7;	1216;	1031055;	0.496980;	0.496842;	0;	3253;	3253;	2593
7;	1216;	1031086;	0.496980;	0.496417;	0;	3670;	3670;	2618
9;	1214;	1031285;	0.496912;	0.497287;	0;	2762;	2762;	2502
10;	1213;	1031303;	0.496878;	0.497540;	0;	2600;	2600;	2508
8;	1215;	1031103;	0.496946;	0.497637;	0;	2484;	2484;	2426
11;	1212;	1031401;	0.496843;	0.496283;	0;	3871;	3871;	2345
8;	1215;	1030976;	0.496946;	0.497395;	0;	2570;	2570;	2396
9;	1214;	1031120;	0.496912;	0.496743;	0;	3440;	3440;	2572
10;	1213;	1031132;	0.496878;	0.496997;	0;	2972;	2972;	2460
8;	1215;	1031255;	0.496946;	0.497113;	0;	3029;	3029;	2601
9;	1214;	1031165;	0.496912;	0.497023;	0;	3019;	3019;	2343
11;	1212;	1031343;	0.496843;	0.496734;	0;	3355;	3355;	2325
8;	1215;	1031295;	0.496946;	0.496730;	0;	3349;	3349;	2695
7;	1216;	1031230;	0.496980;	0.497163;	0;	2949;	2949;	2379
6;	1217;	1031157;	0.497014;	0.496006;	0;	4105;	4105;	2435
6;	1217;	1031026;	0.497014;	0.496656;	0;	3448;	3448;	2374
7;	1216;	1031178;	0.496980;	0.498033;	7;	2132;	2656;	2502
9;	1214;	1031124;	0.496912;	0.496230;	0;	4024;	4024;	2420
5;	1218;	1031313;	0.497047;	0.496169;	0;	3884;	3884;	2380
8;	1215;	1031229;	0.496946;	0.497118;	0;	2896;	2896;	2666
9;	1214;	1031318;	0.496912;	0.497265;	0;	2835;	2835;	2535
6;	1217;	1031278;	0.497014;	0.497118;	0;	3063;	3063;	2307
4;	1219;	1031426;	0.497080;	0.497560;	0;	2498;	2498;	2388
10;	1213;	1031320;	0.496878;	0.496514;	0;	3735;	3735;	2627
10;	1213;	1031216;	0.496878;	0.497274;	0;	2746;	2746;	2382
5;	1218;	1031106;	0.497047;	0.497521;	1;	2589;	2693;	2589
7;	1216;	1031370;	0.496980;	0.496382;	0;	3769;	3769;	2357
8;	1215;	1031193;	0.496946;	0.497190;	0;	2878;	2878;	2474
9;	1214;	1031503;	0.496912;	0.496856;	0;	3255;	3255;	2501
5;	1218;	1031229;	0.497047;	0.497229;	0;	2894;	2894;	2742
7;	1216;	1031511;	0.496980;	0.497303;	0;	3008;	3008;	2450
10;	1213;	1031134;	0.496878;	0.496581;	0;	3578;	3578;	2394
8;	1215;	1031267;	0.496946;	0.497120;	0;	2863;	2863;	2413
6;	1217;	1031367;	0.497014;	0.497105;	0;	2867;	2867;	2479
7;	1216;	1031460;	0.496980;	0.497188;	0;	2979;	2979;	2567
8;	1215;	1031172;	0.496946;	0.496065;	0;	4108;	4108;	2458
8;	1215;	1031387;	0.496946;	0.497093;	0;	2941;	2941;	2557
9;	1214;	1031130;	0.496912;	0.496880;	0;	3262;	3262;	2552
9;	1214;	1031237;	0.496912;	0.497222;	0;	2832;	2832;	2436
8;	1215;	1031317;	0.496946;	0.496168;	0;	3921;	3921;	2507
5;	1218;	1031265;	0.497047;	0.497391;	0;	2819;	2819;	2401
11;	1212;	1031106;	0.496843;	0.497314;	0;	2765;	2765;	2451
10;	1213;	1031197;	0.496878;	0.496881;	0;	3309;	3309;	2469
10;	1213;	1031112;	0.496878;	0.497754;	2;	2390;	2578;	2398
9;	1214;	1031249;	0.496912;	0.496820;	0;	3357;	3357;	2643
3;	1220;	1031386;	0.497113;	0.497396;	0;	2662;	2662;	2612
11;	1212;	1031244;	0.496843;	0.496841;	0;	3229;	3229;	2543
10;	1213;	1031110;	0.496878;	0.497574;	1;	2596;	2776;	2596
9;	1214;	1031034;	0.496912;	0.496938;	0;	3055;	3055;	2403
4;	1219;	1031318;	0.497080;	0.496706;	0;	3307;	3307;	2649
9;	1214;	1031168;	0.496912;	0.497088;	0;	3002;	3002;	2502
8;	1215;	1031336;	0.496946;	0.496817;	0;	3382;	3382;	2596
7;	1216;	1031167;	0.496980;	0.497172;	0;	2884;	2884;	2384
7;	1216;	1030889;	0.496980;	0.497710;	2;	2436;	2538;	2494
4;	1219;	1031331;	0.497080;	0.496457;	0;	3744;	3744;	2446
7;	1216;	1030967;	0.496980;	0.497865;	24;	2094;	2434;	2372
8;	1215;	1031226;	0.496946;	0.496473;	0;	3588;	3588;	2452
7;	1216;	1031191;	0.496980;	0.497925;	4;	2181;	2337;	2275
7;	1216;	1031254;	0.496980;	0.495752;	0;	4396;	4396;	2458
15;	1208;	1031299;	0.496702;	0.497075;	0;	3009;	3009;	2301
5;	1218;	1031342;	0.497047;	0.497013;	0;	3056;	3056;	2554
4;	1219;	1031108;	0.497080;	0.497382;	2;	2685;	2893;	2709
7;	1216;	1031133;	0.496980;	0.496509;	0;	3556;	3556;	2364
8;	1215;	1031269;	0.496946;	0.496878;	0;	3236;	3236;	2576
7;	1216;	1031202;	0.496980;	0.497268;	0;	2730;	2730;	2470
7;	1216;	1031258;	0.496980;	0.497160;	0;	2925;	2925;	2667
11;	1212;	1031238;	0.496843;	0.496064;	0;	4110;	4110;	2516
8;	1215;	1031211;	0.496946;	0.496150;	0;	4021;	4021;	2453
11;	1212;	1031370;	0.496843;	0.497271;	0;	2839;	2839;	2557
10;	1213;	1030997;	0.496878;	0.496817;	0;	3282;	3282;	2550
7;	1216;	1031264;	0.496980;	0.497769;	2;	2362;	2406;	2398
9;	1214;	1031224;	0.496912;	0.497426;	0;	2614;	2614;	2486
8;	1215;	1031302;	0.496946;	0.497041;	0;	2980;	2980;	2434
7;	1216;	1031228;	0.496980;	0.497313;	0;	2780;	2780;	2508
8;	1215;	1031228;	0.496946;	0.495839;	0;	4330;	4330;	2688
11;	1212;	1031197;	0.496843;	0.497193;	0;	2785;	2785;	2565
10;	1213;	1031328;	0.496878;	0.496541;	0;	3601;	3601;	2635
6;	1217;	1031198;	0.497014;	0.497505;	1;	2519;	2779;	2519
9;	1214;	1031381;	0.496912;	0.497604;	2;	2336;	2446;	2344
10;	1213;	1031124;	0.496878;	0.496206;	0;	4027;	4027;	2441
9;	1214;	1030997;	0.496912;	0.496855;	0;	3205;	3205;	2737
10;	1213;	1031455;	0.496878;	0.496931;	0;	3152;	3152;	2754
11;	1212;	1031235;	0.496843;	0.496871;	0;	3219;	3219;	2421
7;	1216;	1031375;	0.496980;	0.497183;	0;	2890;	2890;	2576
8;	1215;	1031338;	0.496946;	0.497676;	2;	2429;	2497;	2469
8;	1215;	1031183;	0.496946;	0.496771;	0;	3256;	3256;	2460
12;	1211;	1031235;	0.496808;	0.496747;	0;	3388;	3388;	2338
10;	1213;	1031235;	0.496878;	0.497599;	2;	2498;	2672;	2546
4;	1219;	1030929;	0.497080;	0.496197;	0;	3800;	3800;	2484
9;	1214;	1031383;	0.496912;	0.496042;	0;	4105;	4105;	2397
8;	1215;	1031321;	0.496946;	0.497044;	0;	2993;	2993;	2299
10;	1213;	1031292;	0.496878;	0.497298;	0;	2710;	2710;	2412
14;	1209;	1031121;	0.496738;	0.495576;	0;	4698;	4698;	2450
13;	1210;	1031182;	0.496773;	0.497105;	0;	3023;	3023;	2393
8;	1215;	1031211;	0.496946;	0.496494;	0;	3739;	3739;	2623
7;	1216;	1031199;	0.496980;	0.496460;	0;	3677;	3677;	2619
9;	1214;	1031425;	0.496912;	0.496987;	0;	3228;	3228;	2598
3;	1220;	1031172;	0.497113;	0.498225;	159;	1842;	2560;	2472
8;	1215;	1031345;	0.496946;	0.497327;	0;	2734;	2734;	2458
8;	1215;	1031133;	0.496946;	0.496802;	0;	3261;	3261;	2449
7;	1216;	1031238;	0.496980;	0.496182;	0;	3855;	3855;	2457
3;	1220;	1031240;	0.497113;	0.497391;	0;	2784;	2784;	2534
10;	1213;	1031163;	0.496878;	0.496397;	0;	3732;	3732;	2436
13;	1210;	1031146;	0.496773;	0.497383;	0;	2741;	2741;	2513
6;	1217;	1031188;	0.497014;	0.497359;	0;	2638;	2638;	2528
10;	1213;	1031169;	0.496878;	0.496227;	0;	3895;	3895;	2541
5;	1218;	1031385;	0.497047;	0.497377;	0;	2655;	2655;	2539
10;	1213;	1031260;	0.496878;	0.496987;	0;	2975;	2975;	2497
5;	1218;	1031377;	0.497047;	0.497253;	0;	2918;	2918;	2576
7;	1216;	1031319;	0.496980;	0.496974;	0;	3133;	3133;	2781
7;	1216;	1031157;	0.496980;	0.496925;	0;	3242;	3242;	2452
3;	1220;	1031430;	0.497113;	0.497248;	0;	2859;	2859;	2693
7;	1216;	1031250;	0.496980;	0.496808;	0;	3291;	3291;	2435
13;	1210;	1031289;	0.496773;	0.495944;	0;	4322;	4322;	2578
8;	1215;	1031181;	0.496946;	0.496154;	0;	3957;	3957;	2551
8;	1215;	1031325;	0.496946;	0.496480;	0;	3488;	3488;	2436
10;	1213;	1030956;	0.496878;	0.496715;	0;	3356;	3356;	2448
8;	1215;	1031187;	0.496946;	0.496868;	0;	3231;	3231;	2697
7;	1216;	1031245;	0.496980;	0.497024;	0;	3051;	3051;	2897
4;	1219;	1031404;	0.497080;	0.496824;	0;	3298;	3298;	2582
8;	1215;	1031454;	0.496946;	0.497333;	0;	2729;	2729;	2415
12;	1211;	1031261;	0.496808;	0.496939;	0;	3064;	3064;	2494
7;	1216;	1031114;	0.496980;	0.497388;	0;	2750;	2750;	2722
11;	1212;	1031086;	0.496843;	0.497355;	0;	2823;	2823;	2385
10;	1213;	1031151;	0.496878;	0.496566;	0;	3554;	3554;	2330
10;	1213;	1031274;	0.496878;	0.496900;	0;	3098;	3098;	2468
10;	1213;	1031063;	0.496878;	0.497255;	0;	2866;	2866;	2506
8;	1215;	1031452;	0.496946;	0.497004;	0;	3098;	3098;	2428
11;	1212;	1031246;	0.496843;	0.497535;	0;	2559;	2559;	2489
9;	1214;	1031518;	0.496912;	0.496418;	0;	3760;	3760;	2414
5;	1218;	1031356;	0.497047;	0.497443;	0;	2662;	2662;	2434
5;	1218;	1031248;	0.497047;	0.497520;	0;	2554;	2554;	2514
10;	1213;	1031260;	0.496878;	0.497306;	0;	2819;	2819;	2483
10;	1213;	1031135;	0.496878;	0.497354;	0;	2758;	2758;	2504
11;	1212;	1031252;	0.496843;	0.497339;	1;	2759;	2761;	2759
10;	1213;	1031277;	0.496878;	0.497254;	0;	2901;	2901;	2279
11;	1212;	1031210;	0.496843;	0.496296;	0;	3718;	3718;	2748
6;	1217;	1031423;	0.497014;	0.496399;	0;	3699;	3699;	2603
6;	1217;	1031429;	0.497014;	0.495989;	0;	4108;	4108;	2372
11;	1212;	1031220;	0.496843;	0.497284;	0;	2828;	2828;	2442
9;	1214;	1031355;	0.496912;	0.496013;	0;	4263;	4263;	2495
5;	1218;	1031226;	0.497047;	0.497072;	0;	2961;	2961;	2313
11;	1212;	1031484;	0.496843;	0.498066;	72;	1953;	2713;	2383
11;	1212;	1031203;	0.496843;	0.496877;	0;	3252;	3252;	2454
9;	1214;	1031333;	0.496912;	0.496707;	0;	3381;	3381;	2459
8;	1215;	1031257;	0.496946;	0.497499;	2;	2557;	2629;	2563
6;	1217;	1031400;	0.497014;	0.497038;	0;	3100;	3100;	2572
6;	1217;	1031254;	0.497014;	0.496857;	0;	3156;	3156;	2524
10;	1213;	1031523;	0.496878;	0.497462;	0;	2641;	2641;	2401
10;	1213;	1031308;	0.496878;	0.496378;	0;	3652;	3652;	2456
11;	1212;	1031470;	0.496843;	0.496438;	0;	3785;	3785;	2569
9;	1214;	1031305;	0.496912;	0.497455;	0;	2608;	2608;	2442
10;	1213;	1031442;	0.496878;	0.496867;	0;	3272;	3272;	2422
6;	1217;	1031438;	0.497014;	0.497778;	3;	2318;	2372;	2370
8;	1215;	1031417;	0.496946;	0.496932;	0;	3218;	3218;	2390
8;	1215;	1031113;	0.496946;	0.497628;	3;	2514;	2808;	2742
8;	1215;	1031183;	0.496946;	0.497368;	0;	2641;	2641;	2525
9;	1214;	1031191;	0.496912;	0.496682;	0;	3548;	3548;	2562
9;	1214;	1031121;	0.496912;	0.496994;	0;	3139;	3139;	2353
9;	1214;	1031227;	0.496912;	0.497144;	0;	2964;	2964;	2388
5;	1218;	1031421;	0.497047;	0.496854;	0;	3161;	3161;	2683
9;	1214;	1031041;	0.496912;	0.496049;	0;	3966;	3966;	2802
5;	1218;	1031436;	0.497047;	0.496935;	0;	3150;	3150;	2578
7;	1216;	1031356;	0.496980;	0.497093;	0;	2981;	2981;	2383
10;	1213;	1031108;	0.496878;	0.496997;	0;	3049;	3049;	2365
8;	1215;	1031050;	0.496946;	0.497382;	0;	2715;	2715;	2437
8;	1215;	1031175;	0.496946;	0.496628;	0;	3469;	3469;	2497
8;	1215;	1031403;	0.496946;	0.495925;	0;	4260;	4260;	2588
6;	1217;	1031054;	0.497014;	0.496910;	0;	3130;	3130;	2422
9;	1214;	1031206;	0.496912;	0.496498;	0;	3637;	3637;	2357
5;	1218;	1031378;	0.497047;	0.496484;	0;	3739;	3739;	2389
6;	1217;	1031306;	0.497014;	0.497785;	9;	2172;	2414;	2320
11;	1212;	1031045;	0.496843;	0.497015;	0;	3088;	3088;	2562
10;	1213;	1031444;	0.496878;	0.496897;	0;	3188;	3188;	2468
9;	1214;	1031455;	0.496912;	0.496900;	0;	3050;	3050;	2438
8;	1215;	1031218;	0.496946;	0.496723;	0;	3331;	3331;	2573
2;	1221;	1031267;	0.497146;	0.497599;	1;	2543;	2607;	2543
8;	1215;	1031394;	0.496946;	0.496656;	0;	3454;	3454;	2412
11;	1212;	1031554;	0.496843;	0.496779;	0;	3296;	3296;	2596
7;	1216;	1031342;	0.496980;	0.497401;	0;	2562;	2562;	2400
7;	1216;	1031323;	0.496980;	0.497724;	5;	2307;	2469;	2369
9;	1214;	1031343;	0.496912;	0.497373;	0;	2759;	2759;	2341
12;	1211;	1031091;	0.496808;	0.497524;	0;	2464;	2464;	2442
6;	1217;	1031432;	0.497014;	0.497504;	0;	2680;	2680;	2590
9;	1214;	1031183;	0.496912;	0.498017;	42;	2040;	2654;	2390
8;	1215;	1031383;	0.496946;	0.496265;	0;	3836;	3836;	2650
10;	1213;	1031105;	0.496878;	0.497301;	0;	2787;	2787;	2461
8;	1215;	1031532;	0.496946;	0.496998;	0;	3134;	3134;	2498
12;	1211;	1031353;	0.496808;	0.497118;	0;	3024;	3024;	2352
7;	1216;	1031269;	0.496980;	0.497711;	0;	2422;	2422;	2374
5;	1218;	1031163;	0.497047;	0.496749;	0;	3325;	3325;	2327
7;	1216;	1031302;	0.496980;	0.496318;	0;	3699;	3699;	2353
7;	1216;	1030954;	0.496980;	0.497248;	0;	2844;	2844;	2376
11;	1212;	1031281;	0.496843;	0.496654;	0;	3461;	3461;	2323
6;	1217;	1031389;	0.497014;	0.496350;	0;	3813;	3813;	3129
8;	1215;	1031280;	0.496946;	0.496823;	0;	3332;	3332;	2548
6;	1217;	1031207;	0.497014;	0.497794;	10;	2170;	2354;	2338
10;	1213;	1031079;	0.496878;	0.497315;	0;	2749;	2749;	2575
12;	1211;	1031344;	0.496808;	0.496983;	0;	3137;	3137;	2481
5;	1218;	1031316;	0.497047;	0.496566;	0;	3489;	3489;	2483
7;	1216;	1031234;	0.496980;	0.496439;	0;	3643;	3643;	2471
7;	1216;	1031206;	0.496980;	0.497750;	2;	2341;	2533;	2363
10;	1213;	1031514;	0.496878;	0.497020;	0;	3171;	3171;	2535
4;	1219;	1031210;	0.497080;	0.497274;	0;	2837;	2837;	2405
5;	1218;	1031231;	0.497047;	0.497014;	0;	3018;	3018;	2764
11;	1212;	1031202;	0.496843;	0.496404;	0;	3759;	3759;	2681
7;	1216;	1031193;	0.496980;	0.496171;	0;	3808;	3808;	2534
11;	1212;	1031260;	0.496843;	0.496779;	0;	3253;	3253;	2381
10;	1213;	1031561;	0.496878;	0.496942;	0;	3141;	3141;	2723
9;	1214;	1031330;	0.496912;	0.497222;	0;	2892;	2892;	2412
6;	1217;	1031217;	0.497014;	0.497039;	0;	3104;	3104;	2346
5;	1218;	1031656;	0.497047;	0.496772;	0;	3393;	3393;	2385
9;	1214;	1031243;	0.496912;	0.496340;	0;	3744;	3744;	2484
8;	1215;	1031433;	0.496946;	0.495959;	0;	4154;	4154;	2456
8;	1215;	1031148;	0.496946;	0.497250;	0;	2847;	2847;	2445
8;	1215;	1031208;	0.496946;	0.497443;	1;	2620;	2750;	2620
8;	1215;	1031142;	0.496946;	0.496638;	0;	3291;	3291;	2319
7;	1216;	1031055;	0.496980;	0.497485;	0;	2535;	2535;	2459
9;	1214;	1031207;	0.496912;	0.497167;	0;	2973;	2973;	2681
10;	1213;	1031142;	0.496878;	0.496319;	0;	3802;	3802;	2292
9;	1214;	1031197;	0.496912;	0.496734;	0;	3329;	3329;	2455
11;	1212;	1031190;	0.496843;	0.497897;	15;	2196;	2480;	2422
14;	1209;	1031381;	0.496738;	0.496674;	0;	3372;	3372;	2524
6;	1217;	1031399;	0.497014;	0.497254;	0;	2799;	2799;	2487
7;	1216;	1031365;	0.496980;	0.497314;	0;	2821;	2821;	2587
6;	1217;	1031305;	0.497014;	0.496363;	0;	3840;	3840;	2294
7;	1216;	1031366;	0.496980;	0.496380;	0;	3751;	3751;	2653
6;	1217;	1031312;	0.497014;	0.496528;	0;	3592;	3592;	2392
9;	1214;	1031227;	0.496912;	0.496462;	0;	3646;	3646;	2514
5;	1218;	1031402;	0.497047;	0.495853;	0;	4303;	4303;	2581
9;	1214;	1031241;	0.496912;	0.497386;	0;	2834;	2834;	2566
6;	1217;	1031278;	0.497014;	0.497280;	0;	2874;	2874;	2440
7;	1216;	1031373;	0.496980;	0.496138;	0;	3924;	3924;	2610
9;	1214;	1031072;	0.496912;	0.497143;	0;	2978;	2978;	2262
8;	1215;	1031446;	0.496946;	0.496315;	0;	3772;	3772;	2372
5;	1218;	1031172;	0.497047;	0.496152;	0;	4004;	4004;	2756
8;	1215;	1031161;	0.496946;	0.496163;	0;	3933;	3933;	2509
10;	1213;	1030980;	0.496878;	0.497084;	0;	3101;	3101;	2529
7;	1216;	1031228;	0.496980;	0.496335;	0;	3763;	3763;	2345
7;	1216;	1031291;	0.496980;	0.496910;	0;	3070;	3070;	2598
6;	1217;	1031279;	0.497014;	0.496328;	0;	3737;	3737;	2411
6;	1217;	1031106;	0.497014;	0.496413;	0;	3712;	3712;	2460
7;	1216;	1031060;	0.496980;	0.497393;	0;	2762;	2762;	2386
9;	1214;	1031001;	0.496912;	0.496728;	0;	3316;	3316;	2462
6;	1217;	1031427;	0.497014;	0.498730;	4209;	1358;	2522;	2486
3;	1220;	1031320;	0.497113;	0.497352;	0;	2743;	2743;	2553
8;	1215;	1031115;	0.496946;	0.496712;	0;	3275;	3275;	2391
5;	1218;	1030967;	0.497047;	0.496911;	0;	3099;	3099;	2547
9;	1214;	1031225;	0.496912;	0.496346;	0;	3753;	3753;	2425
10;	1213;	1031170;	0.496878;	0.497073;	0;	3093;	3093;	2367
8;	1215;	1031454;	0.496946;	0.497645;	0;	2443;	2443;	2417
7;	1216;	1031322;	0.496980;	0.496535;	0;	3508;	3508;	2410
9;	1214;	1031301;	0.496912;	0.497268;	0;	2833;	2833;	2477
8;	1215;	1031336;	0.496946;	0.496680;	0;	3432;	3432;	2348
11;	1212;	1031357;	0.496843;	0.495805;	0;	4353;	4353;	2747
