u; threshold; nb iterations per decoding; nb decoding; nb good decoding; rate of good decoding; nb bad decoding; (*); (**)
1212 ; 2800 ; 25 ; 80 ; 64 ; 0.8 ; 16 ; 16 ; 2
1212 ; 2800 ; 45 ; 44 ; 40 ; 0.9090909090909091 ; 4 ; 2 ; 2
1212 ; 2800 ; 65 ; 30 ; 27 ; 0.9 ; 3 ; 1 ; 2
1212 ; 2800 ; 85 ; 23 ; 21 ; 0.9130434782608695 ; 2 ; 1 ; 1
1212 ; 2800 ; 105 ; 19 ; 18 ; 0.9473684210526315 ; 1 ; 0 ; 1
1212 ; 2800 ; 125 ; 16 ; 15 ; 0.9375 ; 1 ; 0 ; 1
1212 ; 2800 ; 145 ; 13 ; 12 ; 0.9230769230769231 ; 1 ; 0 ; 1
1212 ; 2800 ; 165 ; 12 ; 11 ; 0.9166666666666666 ; 1 ; 0 ; 1
1212 ; 2800 ; 185 ; 10 ; 9 ; 0.9 ; 1 ; 0 ; 1
1212 ; 2800 ; 205 ; 9 ; 8 ; 0.8888888888888888 ; 1 ; 0 ; 1
1212 ; 2800 ; 225 ; 8 ; 7 ; 0.875 ; 1 ; 0 ; 1
1212 ; 2820 ; 25 ; 80 ; 64 ; 0.8 ; 16 ; 16 ; 2
1212 ; 2820 ; 45 ; 44 ; 40 ; 0.9090909090909091 ; 4 ; 2 ; 2
1212 ; 2820 ; 65 ; 30 ; 27 ; 0.9 ; 3 ; 1 ; 2
1212 ; 2820 ; 85 ; 23 ; 21 ; 0.9130434782608695 ; 2 ; 1 ; 1
1212 ; 2820 ; 105 ; 19 ; 18 ; 0.9473684210526315 ; 1 ; 0 ; 1
1212 ; 2820 ; 125 ; 16 ; 15 ; 0.9375 ; 1 ; 0 ; 1
1212 ; 2820 ; 145 ; 13 ; 12 ; 0.9230769230769231 ; 1 ; 0 ; 1
1212 ; 2820 ; 165 ; 12 ; 11 ; 0.9166666666666666 ; 1 ; 0 ; 1
1212 ; 2820 ; 185 ; 10 ; 9 ; 0.9 ; 1 ; 0 ; 1
1212 ; 2820 ; 205 ; 9 ; 8 ; 0.8888888888888888 ; 1 ; 0 ; 1
1212 ; 2820 ; 225 ; 8 ; 7 ; 0.875 ; 1 ; 0 ; 1
1212 ; 2840 ; 25 ; 80 ; 63 ; 0.7875 ; 17 ; 17 ; 1
1212 ; 2840 ; 45 ; 44 ; 41 ; 0.9318181818181818 ; 3 ; 2 ; 1
1212 ; 2840 ; 65 ; 30 ; 28 ; 0.9333333333333333 ; 2 ; 1 ; 1
1212 ; 2840 ; 85 ; 23 ; 21 ; 0.9130434782608695 ; 2 ; 1 ; 1
1212 ; 2840 ; 105 ; 19 ; 18 ; 0.9473684210526315 ; 1 ; 0 ; 1
1212 ; 2840 ; 125 ; 16 ; 15 ; 0.9375 ; 1 ; 0 ; 1
1212 ; 2840 ; 145 ; 13 ; 12 ; 0.9230769230769231 ; 1 ; 0 ; 1
1212 ; 2840 ; 165 ; 12 ; 11 ; 0.9166666666666666 ; 1 ; 0 ; 1
1212 ; 2840 ; 185 ; 10 ; 9 ; 0.9 ; 1 ; 0 ; 1
1212 ; 2840 ; 205 ; 9 ; 8 ; 0.8888888888888888 ; 1 ; 0 ; 1
1212 ; 2840 ; 225 ; 8 ; 7 ; 0.875 ; 1 ; 0 ; 1
1212 ; 2860 ; 25 ; 80 ; 63 ; 0.7875 ; 17 ; 17 ; 1
1212 ; 2860 ; 45 ; 44 ; 41 ; 0.9318181818181818 ; 3 ; 2 ; 1
1212 ; 2860 ; 65 ; 30 ; 28 ; 0.9333333333333333 ; 2 ; 1 ; 1
1212 ; 2860 ; 85 ; 23 ; 21 ; 0.9130434782608695 ; 2 ; 1 ; 1
1212 ; 2860 ; 105 ; 19 ; 18 ; 0.9473684210526315 ; 1 ; 0 ; 1
1212 ; 2860 ; 125 ; 16 ; 15 ; 0.9375 ; 1 ; 0 ; 1
1212 ; 2860 ; 145 ; 13 ; 12 ; 0.9230769230769231 ; 1 ; 0 ; 1
1212 ; 2860 ; 165 ; 12 ; 11 ; 0.9166666666666666 ; 1 ; 0 ; 1
1212 ; 2860 ; 185 ; 10 ; 9 ; 0.9 ; 1 ; 0 ; 1
1212 ; 2860 ; 205 ; 9 ; 8 ; 0.8888888888888888 ; 1 ; 0 ; 1
1212 ; 2860 ; 225 ; 8 ; 7 ; 0.875 ; 1 ; 0 ; 1
1213 ; 2800 ; 16 ; 125 ; 99 ; 0.792 ; 26 ; 24 ; 2
1213 ; 2800 ; 36 ; 55 ; 53 ; 0.9636363636363636 ; 2 ; 0 ; 2
1213 ; 2800 ; 56 ; 35 ; 33 ; 0.9428571428571428 ; 2 ; 0 ; 2
1213 ; 2800 ; 76 ; 26 ; 24 ; 0.9230769230769231 ; 2 ; 0 ; 2
1213 ; 2800 ; 96 ; 20 ; 18 ; 0.9 ; 2 ; 0 ; 2
1213 ; 2800 ; 116 ; 17 ; 16 ; 0.9411764705882353 ; 1 ; 0 ; 1
1213 ; 2800 ; 136 ; 14 ; 12 ; 0.8571428571428571 ; 2 ; 0 ; 2
1213 ; 2800 ; 156 ; 12 ; 11 ; 0.9166666666666666 ; 1 ; 0 ; 1
1213 ; 2800 ; 176 ; 11 ; 10 ; 0.9090909090909091 ; 1 ; 0 ; 1
1213 ; 2800 ; 196 ; 10 ; 8 ; 0.8 ; 2 ; 0 ; 2
1213 ; 2800 ; 216 ; 9 ; 8 ; 0.8888888888888888 ; 1 ; 0 ; 1
1213 ; 2820 ; 16 ; 125 ; 98 ; 0.784 ; 27 ; 25 ; 2
1213 ; 2820 ; 36 ; 55 ; 53 ; 0.9636363636363636 ; 2 ; 0 ; 2
1213 ; 2820 ; 56 ; 35 ; 33 ; 0.9428571428571428 ; 2 ; 0 ; 2
1213 ; 2820 ; 76 ; 26 ; 24 ; 0.9230769230769231 ; 2 ; 0 ; 2
1213 ; 2820 ; 96 ; 20 ; 18 ; 0.9 ; 2 ; 0 ; 2
1213 ; 2820 ; 116 ; 17 ; 16 ; 0.9411764705882353 ; 1 ; 0 ; 1
1213 ; 2820 ; 136 ; 14 ; 12 ; 0.8571428571428571 ; 2 ; 0 ; 2
1213 ; 2820 ; 156 ; 12 ; 11 ; 0.9166666666666666 ; 1 ; 0 ; 1
1213 ; 2820 ; 176 ; 11 ; 10 ; 0.9090909090909091 ; 1 ; 0 ; 1
1213 ; 2820 ; 196 ; 10 ; 8 ; 0.8 ; 2 ; 0 ; 2
1213 ; 2820 ; 216 ; 9 ; 8 ; 0.8888888888888888 ; 1 ; 0 ; 1
1213 ; 2840 ; 16 ; 125 ; 99 ; 0.792 ; 26 ; 25 ; 1
1213 ; 2840 ; 36 ; 55 ; 54 ; 0.9818181818181818 ; 1 ; 0 ; 1
1213 ; 2840 ; 56 ; 35 ; 34 ; 0.9714285714285714 ; 1 ; 0 ; 1
1213 ; 2840 ; 76 ; 26 ; 25 ; 0.9615384615384616 ; 1 ; 0 ; 1
1213 ; 2840 ; 96 ; 20 ; 19 ; 0.95 ; 1 ; 0 ; 1
1213 ; 2840 ; 116 ; 17 ; 16 ; 0.9411764705882353 ; 1 ; 0 ; 1
1213 ; 2840 ; 136 ; 14 ; 13 ; 0.9285714285714286 ; 1 ; 0 ; 1
1213 ; 2840 ; 156 ; 12 ; 11 ; 0.9166666666666666 ; 1 ; 0 ; 1
1213 ; 2840 ; 176 ; 11 ; 10 ; 0.9090909090909091 ; 1 ; 0 ; 1
1213 ; 2840 ; 196 ; 10 ; 9 ; 0.9 ; 1 ; 0 ; 1
1213 ; 2840 ; 216 ; 9 ; 8 ; 0.8888888888888888 ; 1 ; 0 ; 1
