|e_P|;	|e_N|;	N;	theoretical bias;	practical bias;	position of e_P in L;	\hat{f}(e_P);	\hat{f}(L[0]);	\hat{f}(L[1])
2;	40;	21825;	0.487291;	0.484399;	25;	404;	476;	458
3;	39;	21842;	0.485553;	0.487364;	77;	376;	482;	480
3;	39;	21716;	0.485553;	0.490007;	37156;	152;	530;	446
4;	38;	21631;	0.483625;	0.479035;	0;	491;	491;	467
2;	40;	21781;	0.487291;	0.493090;	30523;	162;	488;	472
5;	37;	21696;	0.481493;	0.484790;	75;	375;	471;	459
5;	37;	21364;	0.481493;	0.481183;	3;	449;	593;	517
3;	39;	21708;	0.485553;	0.483554;	273;	336;	482;	466
4;	38;	21768;	0.483625;	0.483508;	12;	424;	474;	462
5;	37;	21858;	0.481493;	0.483850;	1;	509;	563;	509
5;	37;	21939;	0.481493;	0.486303;	218;	344;	574;	470
2;	40;	21887;	0.487291;	0.488966;	48132;	139;	477;	455
4;	38;	21678;	0.483625;	0.483808;	496;	318;	454;	452
3;	39;	21712;	0.485553;	0.489545;	33046;	158;	466;	462
3;	39;	21864;	0.485553;	0.487559;	1195;	292;	518;	470
6;	36;	21529;	0.479139;	0.473780;	1;	506;	544;	506
7;	35;	21771;	0.476545;	0.473795;	0;	599;	599;	491
5;	37;	21400;	0.481493;	0.474626;	0;	570;	570;	460
3;	39;	21789;	0.485553;	0.484143;	14;	420;	516;	482
4;	38;	21748;	0.483625;	0.479630;	1878;	280;	472;	464
5;	37;	21601;	0.481493;	0.477432;	3;	440;	454;	442
5;	37;	21849;	0.481493;	0.485377;	150;	358;	494;	470
4;	38;	21931;	0.483625;	0.476631;	14;	423;	483;	475
5;	37;	21720;	0.481493;	0.480571;	42;	390;	478;	460
5;	37;	21787;	0.481493;	0.487584;	10788;	211;	499;	477
4;	38;	21690;	0.483625;	0.487091;	100;	369;	531;	499
3;	39;	21640;	0.485553;	0.489048;	102;	369;	467;	461
6;	36;	21802;	0.479139;	0.476837;	1;	486;	488;	486
5;	37;	21617;	0.481493;	0.475089;	0;	527;	527;	459
3;	39;	21662;	0.485553;	0.480334;	7;	423;	459;	439
5;	37;	21702;	0.481493;	0.485024;	5797;	236;	504;	462
5;	37;	21634;	0.481493;	0.484561;	3454;	255;	443;	439
8;	34;	21638;	0.473693;	0.473750;	0;	660;	660;	478
6;	36;	21735;	0.479139;	0.482816;	0;	546;	546;	470
4;	38;	21938;	0.483625;	0.479442;	1;	512;	526;	512
4;	38;	21985;	0.483625;	0.484694;	175;	357;	559;	479
3;	39;	21724;	0.485553;	0.486328;	6319;	233;	487;	467
4;	38;	21493;	0.483625;	0.488671;	28633;	165;	491;	459
4;	38;	21608;	0.483625;	0.481488;	272;	338;	488;	466
5;	37;	21548;	0.481493;	0.484500;	530;	317;	487;	471
2;	40;	21525;	0.487291;	0.490964;	9701;	215;	483;	479
6;	36;	21868;	0.479139;	0.477410;	103;	371;	481;	469
5;	37;	21753;	0.481493;	0.480439;	0;	522;	522;	474
4;	38;	21860;	0.483625;	0.488198;	7236;	229;	531;	477
4;	38;	21763;	0.483625;	0.485549;	207;	345;	461;	437
3;	39;	21471;	0.485553;	0.477574;	0;	669;	669;	499
4;	38;	21320;	0.483625;	0.487195;	628;	310;	468;	446
5;	37;	21670;	0.481493;	0.479465;	3;	443;	501;	499
4;	38;	21759;	0.483625;	0.479801;	130;	363;	543;	511
3;	39;	21524;	0.485553;	0.481927;	50;	387;	515;	479
2;	40;	21560;	0.487291;	0.484137;	2115;	272;	572;	470
5;	37;	21572;	0.481493;	0.482060;	964;	299;	575;	453
4;	38;	21400;	0.483625;	0.481449;	27;	404;	504;	480
4;	38;	21911;	0.483625;	0.480261;	96;	370;	478;	458
4;	38;	21768;	0.483625;	0.488515;	122;	362;	454;	452
3;	39;	21890;	0.485553;	0.484468;	897;	304;	502;	498
2;	40;	21584;	0.487291;	0.484294;	25;	406;	472;	472
2;	40;	21842;	0.487291;	0.491851;	309044;	-23;	471;	441
3;	39;	21598;	0.485553;	0.486851;	5039;	241;	479;	465
6;	36;	21524;	0.479139;	0.480626;	23;	400;	496;	448
6;	36;	21747;	0.479139;	0.476801;	3;	451;	461;	461
4;	38;	21636;	0.483625;	0.477260;	0;	482;	482;	478
5;	37;	21723;	0.481493;	0.479676;	0;	519;	519;	471
3;	39;	21694;	0.485553;	0.486217;	818;	306;	558;	544
5;	37;	21437;	0.481493;	0.482344;	1101;	293;	509;	487
5;	37;	21839;	0.481493;	0.477265;	43;	387;	471;	465
4;	38;	21909;	0.483625;	0.485371;	28;	394;	488;	478
8;	34;	21769;	0.473693;	0.483026;	29;	399;	461;	461
4;	38;	21511;	0.483625;	0.483148;	11;	424;	468;	466
1;	41;	21727;	0.488854;	0.489667;	123;	360;	508;	484
5;	37;	21798;	0.481493;	0.481283;	8;	444;	504;	502
4;	38;	21394;	0.483625;	0.480649;	2;	469;	533;	491
4;	38;	21752;	0.483625;	0.484323;	11574;	208;	468;	468
4;	38;	21978;	0.483625;	0.482755;	1;	462;	472;	462
3;	39;	21348;	0.485553;	0.490350;	94211;	93;	485;	469
4;	38;	22012;	0.483625;	0.480556;	373;	331;	575;	479
3;	39;	21585;	0.485553;	0.481909;	0;	494;	494;	480
1;	41;	21763;	0.488854;	0.489363;	353;	332;	518;	478
4;	38;	21650;	0.483625;	0.481755;	33;	396;	494;	490
1;	41;	21306;	0.488854;	0.488454;	352;	326;	456;	444
2;	40;	21713;	0.487291;	0.487864;	6432;	231;	483;	475
2;	40;	21621;	0.487291;	0.487859;	70;	375;	493;	471
4;	38;	21699;	0.483625;	0.480852;	0;	477;	477;	471
3;	39;	21805;	0.485553;	0.483972;	493;	323;	491;	489
4;	38;	21330;	0.483625;	0.484669;	3926;	251;	459;	437
3;	39;	21761;	0.485553;	0.484445;	41;	389;	509;	463
6;	36;	21521;	0.479139;	0.479532;	64;	380;	496;	454
4;	38;	21828;	0.483625;	0.482820;	482;	322;	552;	492
4;	38;	21548;	0.483625;	0.483386;	616;	310;	494;	464
3;	39;	21718;	0.485553;	0.486002;	30;	398;	500;	478
4;	38;	21931;	0.483625;	0.487848;	10745;	211;	497;	489
5;	37;	21880;	0.481493;	0.480302;	0;	487;	487;	487
5;	37;	21887;	0.481493;	0.486088;	1403;	290;	520;	470
4;	38;	21972;	0.483625;	0.482614;	3492;	256;	490;	476
4;	38;	21882;	0.483625;	0.485513;	465;	323;	471;	469
3;	39;	21927;	0.485553;	0.487800;	30062;	163;	539;	495
5;	37;	21771;	0.481493;	0.482109;	13;	416;	466;	452
5;	37;	21814;	0.481493;	0.479921;	2;	453;	469;	467
5;	37;	21746;	0.481493;	0.476915;	50;	387;	501;	479
5;	37;	21700;	0.481493;	0.481290;	3;	434;	460;	440
2;	40;	21446;	0.487291;	0.480090;	13;	413;	539;	463
3;	39;	21929;	0.485553;	0.483105;	561;	319;	477;	451
4;	38;	21746;	0.483625;	0.487400;	1629;	284;	458;	456
3;	39;	21829;	0.485553;	0.490128;	13179;	203;	481;	479
5;	37;	21414;	0.481493;	0.489540;	250;	340;	470;	462
6;	36;	21952;	0.479139;	0.477314;	1;	522;	546;	522
3;	39;	21676;	0.485553;	0.484222;	43;	399;	515;	487
4;	38;	21458;	0.483625;	0.484481;	26;	392;	478;	464
7;	35;	21847;	0.476545;	0.473612;	0;	539;	539;	471
1;	41;	21891;	0.488854;	0.486273;	2575;	268;	474;	474
4;	38;	21822;	0.483625;	0.489781;	3254;	258;	480;	462
2;	40;	21441;	0.487291;	0.487897;	13987;	198;	484;	476
3;	39;	21444;	0.485553;	0.480880;	0;	507;	507;	495
4;	38;	21461;	0.483625;	0.485905;	2500;	266;	532;	484
1;	41;	21934;	0.488854;	0.488602;	119;	367;	487;	467
7;	35;	21668;	0.476545;	0.482140;	0;	561;	561;	451
4;	38;	21608;	0.483625;	0.489541;	34533;	156;	462;	452
9;	33;	21700;	0.470562;	0.473134;	0;	645;	645;	491
2;	40;	21778;	0.487291;	0.486087;	320;	334;	476;	466
6;	36;	21570;	0.479139;	0.478396;	1;	479;	533;	479
2;	40;	21914;	0.487291;	0.488409;	4649;	245;	499;	475
1;	41;	21409;	0.488854;	0.488533;	1106;	295;	471;	457
6;	36;	21739;	0.479139;	0.483049;	993;	301;	463;	441
3;	39;	21884;	0.485553;	0.486109;	32501;	160;	468;	464
4;	38;	21879;	0.483625;	0.480918;	53;	386;	484;	478
2;	40;	21365;	0.487291;	0.492160;	6793;	228;	482;	474
5;	37;	21963;	0.481493;	0.480718;	188;	352;	472;	456
6;	36;	21655;	0.479139;	0.477903;	6;	458;	512;	480
3;	39;	21828;	0.485553;	0.486302;	88;	373;	475;	469
5;	37;	21736;	0.481493;	0.479251;	58;	382;	522;	514
5;	37;	21630;	0.481493;	0.480490;	591;	313;	503;	461
1;	41;	21708;	0.488854;	0.485075;	34;	392;	460;	460
6;	36;	21655;	0.479139;	0.474071;	0;	638;	638;	468
4;	38;	21539;	0.483625;	0.489438;	149;	356;	476;	470
5;	37;	21718;	0.481493;	0.479234;	6;	410;	450;	450
3;	39;	21760;	0.485553;	0.482904;	669;	312;	472;	470
4;	38;	21690;	0.483625;	0.489304;	37890;	151;	463;	459
4;	38;	21870;	0.483625;	0.480521;	5;	452;	492;	470
6;	36;	21611;	0.479139;	0.477766;	0;	459;	459;	431
5;	37;	21865;	0.481493;	0.482003;	1212;	293;	467;	459
3;	39;	21680;	0.485553;	0.483118;	206;	348;	488;	480
5;	37;	21769;	0.481493;	0.485415;	8446;	221;	479;	463
4;	38;	21387;	0.483625;	0.488755;	4296;	245;	491;	463
7;	35;	21725;	0.476545;	0.476594;	0;	550;	550;	506
6;	36;	21621;	0.479139;	0.478979;	0;	511;	511;	457
3;	39;	22012;	0.485553;	0.484418;	5238;	243;	497;	463
4;	38;	21580;	0.483625;	0.486932;	15208;	194;	498;	476
3;	39;	21945;	0.485553;	0.489041;	6335;	234;	496;	484
4;	38;	21550;	0.483625;	0.483248;	187;	346;	472;	462
4;	38;	21813;	0.483625;	0.487462;	1462;	287;	501;	499
2;	40;	21746;	0.487291;	0.489331;	43;	384;	504;	446
2;	40;	21803;	0.487291;	0.485942;	547;	316;	518;	494
4;	38;	21675;	0.483625;	0.478339;	0;	480;	480;	454
3;	39;	21858;	0.485553;	0.483118;	61;	381;	555;	479
2;	40;	21706;	0.487291;	0.474339;	0;	669;	669;	531
5;	37;	21677;	0.481493;	0.477926;	5;	439;	485;	477
4;	38;	21906;	0.483625;	0.485164;	422;	326;	494;	470
8;	34;	21918;	0.473693;	0.475591;	0;	555;	555;	521
6;	36;	21658;	0.479139;	0.478207;	2;	444;	522;	452
4;	38;	21826;	0.483625;	0.483277;	0;	494;	494;	472
4;	38;	21753;	0.483625;	0.488714;	148;	355;	467;	457
5;	37;	21881;	0.481493;	0.477583;	0;	532;	532;	530
2;	40;	21783;	0.487291;	0.488179;	2858;	264;	470;	458
4;	38;	21616;	0.483625;	0.484965;	116;	359;	531;	477
2;	40;	21666;	0.487291;	0.489154;	3744;	252;	504;	466
5;	37;	21877;	0.481493;	0.480368;	6;	443;	491;	479
5;	37;	21691;	0.481493;	0.480291;	2;	458;	538;	480
6;	36;	21674;	0.479139;	0.475824;	25;	401;	483;	471
4;	38;	21749;	0.483625;	0.488758;	1537;	284;	464;	460
5;	37;	21647;	0.481493;	0.479096;	88;	369;	495;	475
4;	38;	21704;	0.483625;	0.482676;	112;	363;	519;	505
6;	36;	21504;	0.479139;	0.482375;	28;	410;	486;	454
5;	37;	21725;	0.481493;	0.478895;	0;	483;	483;	481
5;	37;	21704;	0.481493;	0.482215;	4;	445;	491;	481
4;	38;	21779;	0.483625;	0.481381;	3;	458;	506;	494
4;	38;	21584;	0.483625;	0.481421;	0;	465;	465;	463
3;	39;	21837;	0.485553;	0.482804;	131;	358;	486;	482
4;	38;	21642;	0.483625;	0.484798;	36;	388;	452;	448
5;	37;	21864;	0.481493;	0.478229;	0;	515;	515;	511
1;	41;	21746;	0.488854;	0.487860;	956;	301;	561;	479
5;	37;	21727;	0.481493;	0.480140;	3;	469;	497;	483
2;	40;	21708;	0.487291;	0.480837;	6;	447;	517;	487
3;	39;	21625;	0.485553;	0.492948;	18857;	186;	488;	478
2;	40;	21909;	0.487291;	0.479529;	2;	493;	537;	511
4;	38;	21717;	0.483625;	0.486025;	1406;	286;	458;	454
7;	35;	21868;	0.476545;	0.477867;	0;	514;	514;	466
5;	37;	21655;	0.481493;	0.479150;	0;	569;	569;	541
3;	39;	21551;	0.485553;	0.486567;	1656;	282;	454;	452
2;	40;	21813;	0.487291;	0.491037;	2613;	267;	461;	457
3;	39;	21626;	0.485553;	0.479099;	8;	437;	501;	487
2;	40;	21515;	0.487291;	0.486823;	998;	299;	489;	477
4;	38;	21719;	0.483625;	0.480777;	1;	494;	494;	494
4;	38;	21803;	0.483625;	0.486630;	2181;	274;	496;	486
5;	37;	22008;	0.481493;	0.481552;	9;	434;	482;	470
2;	40;	21541;	0.487291;	0.485678;	273;	335;	507;	477
3;	39;	21706;	0.485553;	0.490233;	5691;	236;	482;	462
6;	36;	22046;	0.479139;	0.479316;	0;	512;	512;	482
2;	40;	21398;	0.487291;	0.487662;	170;	352;	462;	458
2;	40;	21529;	0.487291;	0.486460;	820;	303;	485;	465
3;	39;	21671;	0.485553;	0.484057;	7;	432;	468;	460
3;	39;	21700;	0.485553;	0.481198;	172;	349;	467;	459
1;	41;	21670;	0.488854;	0.491555;	17652;	188;	504;	466
1;	41;	21782;	0.488854;	0.488798;	4024;	250;	476;	474
5;	37;	21747;	0.481493;	0.483101;	131;	359;	533;	487
5;	37;	21307;	0.481493;	0.483409;	885;	300;	468;	450
3;	39;	21845;	0.485553;	0.486061;	79;	376;	516;	516
8;	34;	21817;	0.473693;	0.475592;	0;	595;	595;	499
7;	35;	21602;	0.476545;	0.474308;	0;	728;	728;	502
3;	39;	21856;	0.485553;	0.483666;	143;	360;	464;	460
6;	36;	21877;	0.479139;	0.478219;	0;	473;	473;	461
3;	39;	21848;	0.485553;	0.485353;	46;	394;	500;	484
2;	40;	21745;	0.487291;	0.484203;	17860;	188;	476;	454
5;	37;	21755;	0.481493;	0.480855;	1;	456;	506;	456
3;	39;	21665;	0.485553;	0.482806;	155;	355;	517;	515
2;	40;	21797;	0.487291;	0.480479;	13;	418;	560;	452
3;	39;	21608;	0.485553;	0.491022;	6123;	234;	468;	452
3;	39;	21895;	0.485553;	0.486230;	789;	308;	462;	450
3;	39;	21892;	0.485553;	0.486388;	547;	319;	467;	467
6;	36;	21867;	0.479139;	0.483926;	41;	390;	476;	448
4;	38;	21629;	0.483625;	0.479495;	40;	387;	503;	459
2;	40;	21418;	0.487291;	0.480997;	18;	411;	465;	459
2;	40;	21671;	0.487291;	0.484288;	15;	409;	507;	465
3;	39;	21784;	0.485553;	0.482648;	6;	441;	507;	453
1;	41;	22057;	0.488854;	0.490910;	26029;	169;	505;	459
4;	38;	21918;	0.483625;	0.482891;	1;	463;	477;	463
5;	37;	21495;	0.481493;	0.483043;	180;	351;	493;	471
5;	37;	21681;	0.481493;	0.484479;	13867;	199;	465;	453
2;	40;	21705;	0.487291;	0.491822;	197550;	32;	504;	496
4;	38;	21735;	0.483625;	0.480561;	88;	370;	520;	486
3;	39;	21601;	0.485553;	0.487755;	1180;	291;	523;	467
3;	39;	21679;	0.485553;	0.483509;	25;	405;	461;	461
6;	36;	21676;	0.479139;	0.487129;	68;	380;	474;	460
3;	39;	21604;	0.485553;	0.488335;	313;	334;	468;	448
4;	38;	21673;	0.483625;	0.486366;	1080;	296;	472;	466
3;	39;	21865;	0.485553;	0.489870;	5105;	242;	486;	458
5;	37;	21610;	0.481493;	0.478390;	0;	486;	486;	458
6;	36;	21687;	0.479139;	0.484807;	448;	326;	472;	468
4;	38;	21719;	0.483625;	0.488558;	2929;	262;	520;	460
7;	35;	21472;	0.476545;	0.477692;	1;	520;	524;	520
4;	38;	21750;	0.483625;	0.482115;	45;	390;	490;	480
2;	40;	21751;	0.487291;	0.488070;	2381;	270;	514;	494
5;	37;	21764;	0.481493;	0.482310;	0;	444;	444;	438
3;	39;	21624;	0.485553;	0.487976;	962;	299;	511;	463
3;	39;	21737;	0.485553;	0.489212;	4045;	251;	503;	497
4;	38;	21957;	0.483625;	0.480894;	0;	502;	502;	436
4;	38;	21890;	0.483625;	0.480448;	1;	491;	507;	491
3;	39;	21378;	0.485553;	0.483254;	413;	323;	457;	445
6;	36;	21728;	0.479139;	0.483109;	5;	441;	473;	471
3;	39;	21605;	0.485553;	0.488128;	40285;	146;	496;	478
6;	36;	21528;	0.479139;	0.486669;	7;	436;	488;	486
1;	41;	21651;	0.488854;	0.491894;	20802;	180;	528;	464
4;	38;	21475;	0.483625;	0.485169;	10;	424;	458;	458
4;	38;	21623;	0.483625;	0.487768;	1567;	279;	485;	459
2;	40;	21791;	0.487291;	0.489009;	1065;	299;	467;	457
5;	37;	21685;	0.481493;	0.483191;	6;	439;	489;	485
2;	40;	21646;	0.487291;	0.487434;	110504;	82;	488;	456
1;	41;	21484;	0.488854;	0.486036;	44;	384;	526;	492
3;	39;	21735;	0.485553;	0.482310;	1;	460;	494;	460
4;	38;	21479;	0.483625;	0.482099;	4;	441;	497;	469
1;	41;	21823;	0.488854;	0.490308;	1054;	298;	460;	448
5;	37;	21625;	0.481493;	0.476532;	6;	435;	517;	475
6;	36;	21439;	0.479139;	0.477681;	0;	515;	515;	455
3;	39;	21627;	0.485553;	0.486059;	2046;	273;	539;	455
6;	36;	21555;	0.479139;	0.477383;	0;	555;	555;	459
2;	40;	21659;	0.487291;	0.487834;	23798;	174;	482;	482
5;	37;	21714;	0.481493;	0.480519;	420;	325;	485;	471
3;	39;	21509;	0.485553;	0.484169;	706;	311;	495;	467
4;	38;	21661;	0.483625;	0.478833;	39;	387;	471;	453
4;	38;	21632;	0.483625;	0.484699;	41;	392;	516;	468
1;	41;	21732;	0.488854;	0.488174;	1749;	279;	525;	467
5;	37;	21485;	0.481493;	0.482988;	1126;	295;	487;	483
4;	38;	21695;	0.483625;	0.482507;	220;	346;	480;	460
2;	40;	21787;	0.487291;	0.493872;	24370;	173;	493;	483
3;	39;	21428;	0.485553;	0.483900;	1;	501;	501;	501
3;	39;	21603;	0.485553;	0.480489;	8;	448;	512;	470
4;	38;	21674;	0.483625;	0.486251;	877;	301;	473;	465
4;	38;	21649;	0.483625;	0.481777;	32;	400;	502;	492
1;	41;	21691;	0.488854;	0.485639;	15;	413;	463;	463
2;	40;	21868;	0.487291;	0.479925;	2425;	270;	458;	450
4;	38;	21547;	0.483625;	0.485868;	333;	333;	455;	447
4;	38;	21701;	0.483625;	0.481038;	8;	436;	494;	472
5;	37;	21757;	0.481493;	0.478697;	0;	471;	471;	465
5;	37;	21792;	0.481493;	0.486142;	1469;	288;	528;	514
3;	39;	21663;	0.485553;	0.481558;	4;	475;	537;	523
4;	38;	21755;	0.483625;	0.486003;	3687;	256;	458;	444
5;	37;	21734;	0.481493;	0.481550;	156;	358;	492;	484
3;	39;	21791;	0.485553;	0.483869;	6;	444;	498;	480
1;	41;	21668;	0.488854;	0.488693;	2301;	271;	481;	475
4;	38;	21797;	0.483625;	0.487085;	13305;	202;	514;	506
6;	36;	21477;	0.479139;	0.483820;	1317;	288;	472;	448
6;	36;	21499;	0.479139;	0.483464;	63;	376;	480;	466
2;	40;	21766;	0.487291;	0.484563;	12488;	204;	538;	536
3;	39;	21796;	0.485553;	0.487337;	21;	414;	492;	476
3;	39;	21559;	0.485553;	0.483000;	3354;	256;	466;	446
5;	37;	21719;	0.481493;	0.485980;	259;	344;	494;	492
4;	38;	21728;	0.483625;	0.486607;	4;	439;	515;	449
3;	39;	21772;	0.485553;	0.488655;	4117;	252;	484;	460
7;	35;	21781;	0.476545;	0.480832;	41;	387;	521;	495
6;	36;	21719;	0.479139;	0.481007;	37;	388;	450;	446
4;	38;	21917;	0.483625;	0.482502;	24;	402;	516;	448
2;	40;	21813;	0.487291;	0.487737;	197;	349;	479;	475
4;	38;	21865;	0.483625;	0.483421;	1170;	294;	518;	494
5;	37;	21768;	0.481493;	0.481073;	9;	445;	479;	475
2;	40;	21755;	0.487291;	0.483521;	131;	356;	456;	448
3;	39;	21634;	0.485553;	0.480401;	13;	418;	468;	462
2;	40;	21795;	0.487291;	0.485111;	163;	353;	517;	483
1;	41;	21449;	0.488854;	0.493310;	21951;	179;	567;	465
8;	34;	21752;	0.473693;	0.470669;	0;	599;	599;	475
3;	39;	21785;	0.485553;	0.492357;	62223;	123;	507;	483
7;	35;	21539;	0.476545;	0.473560;	0;	533;	533;	493
6;	36;	21772;	0.479139;	0.479745;	3;	458;	504;	490
3;	39;	21671;	0.485553;	0.485718;	8349;	221;	455;	451
3;	39;	21672;	0.485553;	0.485327;	102;	365;	477;	471
2;	40;	21943;	0.487291;	0.485622;	261;	340;	462;	454
5;	37;	21943;	0.481493;	0.484893;	8405;	222;	474;	448
3;	39;	21698;	0.485553;	0.485621;	1865;	277;	457;	441
4;	38;	21659;	0.483625;	0.485803;	238;	344;	466;	456
3;	39;	21749;	0.485553;	0.486597;	58;	374;	482;	460
5;	37;	21788;	0.481493;	0.472370;	0;	652;	652;	480
1;	41;	21512;	0.488854;	0.484474;	1322;	289;	491;	481
2;	40;	21690;	0.487291;	0.487091;	147;	355;	493;	479
2;	40;	21875;	0.487291;	0.488823;	5365;	241;	521;	489
5;	37;	21614;	0.481493;	0.484316;	55;	378;	510;	470
4;	38;	21667;	0.483625;	0.479070;	0;	544;	544;	442
6;	36;	21713;	0.479139;	0.477916;	18;	420;	504;	464
3;	39;	21469;	0.485553;	0.488844;	11300;	208;	482;	460
3;	39;	21683;	0.485553;	0.485588;	8868;	219;	465;	459
2;	40;	21746;	0.487291;	0.493470;	189562;	36;	490;	476
3;	39;	21429;	0.485553;	0.482850;	754;	306;	500;	494
5;	37;	21882;	0.481493;	0.484188;	50;	383;	515;	479
6;	36;	21873;	0.479139;	0.475381;	0;	602;	602;	494
2;	40;	21705;	0.487291;	0.490348;	776;	308;	532;	454
7;	35;	21739;	0.476545;	0.477207;	41;	393;	477;	467
2;	40;	21358;	0.487291;	0.485064;	589;	312;	436;	430
6;	36;	21754;	0.479139;	0.477935;	1;	467;	507;	467
3;	39;	21711;	0.485553;	0.484777;	4629;	245;	529;	479
2;	40;	21910;	0.487291;	0.484254;	4;	456;	550;	506
5;	37;	21381;	0.481493;	0.483981;	1161;	291;	499;	493
3;	39;	21894;	0.485553;	0.492646;	58211;	127;	513;	479
7;	35;	21710;	0.476545;	0.478581;	33;	399;	471;	465
4;	38;	21510;	0.483625;	0.484891;	44;	385;	541;	483
3;	39;	21595;	0.485553;	0.488771;	1172;	294;	480;	476
4;	38;	21552;	0.483625;	0.479677;	138;	361;	487;	473
3;	39;	21537;	0.485553;	0.483494;	90;	368;	496;	482
6;	36;	21903;	0.479139;	0.475186;	1;	538;	552;	538
5;	37;	21781;	0.481493;	0.476884;	0;	557;	557;	479
5;	37;	21805;	0.481493;	0.485302;	1502;	286;	468;	466
6;	36;	21818;	0.479139;	0.473600;	0;	567;	567;	501
4;	38;	21615;	0.483625;	0.485959;	12291;	206;	454;	446
5;	37;	21805;	0.481493;	0.485210;	3694;	254;	454;	448
7;	35;	21734;	0.476545;	0.472025;	0;	680;	680;	542
5;	37;	21837;	0.481493;	0.488162;	1533;	286;	526;	446
5;	37;	21813;	0.481493;	0.480539;	26;	400;	478;	474
4;	38;	21756;	0.483625;	0.485613;	394;	330;	460;	452
3;	39;	21831;	0.485553;	0.484357;	1783;	281;	541;	509
3;	39;	21804;	0.485553;	0.487892;	1121;	295;	507;	485
4;	38;	21512;	0.483625;	0.484892;	2797;	262;	458;	456
3;	39;	21914;	0.485553;	0.484257;	167;	355;	499;	495
5;	37;	21713;	0.481493;	0.485562;	1456;	287;	475;	461
3;	39;	21744;	0.485553;	0.477373;	50;	386;	464;	464
8;	34;	21609;	0.473693;	0.475635;	0;	517;	517;	491
3;	39;	21614;	0.485553;	0.487045;	5463;	238;	476;	456
3;	39;	21740;	0.485553;	0.486477;	226;	344;	476;	470
6;	36;	21612;	0.479139;	0.473071;	1;	504;	516;	504
5;	37;	21660;	0.481493;	0.477932;	2;	480;	516;	500
3;	39;	21679;	0.485553;	0.488860;	33880;	158;	472;	450
2;	40;	21773;	0.487291;	0.486336;	28;	402;	532;	476
5;	37;	21670;	0.481493;	0.483572;	104;	366;	456;	450
5;	37;	21820;	0.481493;	0.486068;	1938;	280;	492;	464
2;	40;	21554;	0.487291;	0.487891;	5355;	239;	491;	467
3;	39;	21556;	0.485553;	0.486964;	2837;	262;	456;	446
4;	38;	21874;	0.483625;	0.484594;	134;	361;	479;	473
3;	39;	21651;	0.485553;	0.485613;	490;	318;	550;	488
5;	37;	21771;	0.481493;	0.481696;	0;	548;	548;	546
4;	38;	21697;	0.483625;	0.485090;	1030;	298;	464;	464
4;	38;	21764;	0.483625;	0.484791;	5958;	235;	525;	485
5;	37;	21617;	0.481493;	0.477541;	0;	540;	540;	496
6;	36;	21692;	0.479139;	0.472156;	0;	497;	497;	459
4;	38;	21730;	0.483625;	0.485596;	10359;	214;	468;	456
5;	37;	21496;	0.481493;	0.487253;	3967;	247;	485;	485
3;	39;	21543;	0.485553;	0.483730;	85;	372;	482;	466
5;	37;	21621;	0.481493;	0.478516;	8;	425;	473;	465
3;	39;	21676;	0.485553;	0.481131;	0;	515;	515;	461
4;	38;	21821;	0.483625;	0.476330;	1;	508;	522;	508
3;	39;	21474;	0.485553;	0.489988;	121802;	75;	477;	475
3;	39;	21655;	0.485553;	0.486493;	1140;	296;	504;	490
7;	35;	21790;	0.476545;	0.474162;	0;	539;	539;	481
4;	38;	21688;	0.483625;	0.488980;	591;	316;	466;	464
2;	40;	21634;	0.487291;	0.492650;	59418;	124;	482;	458
3;	39;	21762;	0.485553;	0.486260;	590;	317;	497;	461
4;	38;	21767;	0.483625;	0.484908;	431;	327;	567;	481
6;	36;	21788;	0.479139;	0.477006;	1;	494;	506;	494
4;	38;	21726;	0.483625;	0.483246;	28;	402;	496;	488
4;	38;	21569;	0.483625;	0.482220;	43;	393;	459;	449
3;	39;	21769;	0.485553;	0.482245;	93;	365;	505;	495
4;	38;	21603;	0.483625;	0.483544;	34;	391;	471;	471
2;	40;	21673;	0.487291;	0.487750;	74024;	111;	493;	483
3;	39;	21741;	0.485553;	0.485442;	2986;	262;	468;	462
4;	38;	21729;	0.483625;	0.486953;	7379;	226;	480;	462
2;	40;	21895;	0.487291;	0.483307;	0;	603;	603;	493
2;	40;	21472;	0.487291;	0.486867;	3983;	248;	510;	492
6;	36;	21641;	0.479139;	0.478120;	22;	406;	546;	484
3;	39;	21908;	0.485553;	0.488589;	14036;	199;	483;	467
1;	41;	21571;	0.488854;	0.488990;	1657;	283;	505;	491
5;	37;	21911;	0.481493;	0.478846;	0;	521;	521;	485
6;	36;	21533;	0.479139;	0.476664;	1;	488;	500;	488
4;	38;	21663;	0.483625;	0.487790;	14;	407;	481;	443
1;	41;	21797;	0.488854;	0.484149;	61;	386;	524;	486
4;	38;	21572;	0.483625;	0.480901;	0;	440;	440;	432
6;	36;	21742;	0.479139;	0.483258;	21;	403;	507;	483
4;	38;	21757;	0.483625;	0.478329;	0;	499;	499;	467
5;	37;	21527;	0.481493;	0.485901;	402;	327;	457;	453
3;	39;	21646;	0.485553;	0.487527;	1187;	291;	487;	465
5;	37;	21670;	0.481493;	0.480203;	0;	586;	586;	494
5;	37;	21737;	0.481493;	0.476285;	1;	539;	563;	539
2;	40;	21720;	0.487291;	0.485267;	176;	351;	465;	453
4;	38;	21832;	0.483625;	0.482732;	5;	439;	475;	469
