u; threshold; nb iterations per decoding; nb decoding; nb good decoding; rate of good decoding; nb bad decoding; (*); (**)
103 ; 900 ; 784 ; 204 ; 152 ; 0.7450980392156863 ; 52 ; 52 ; 1
103 ; 900 ; 804 ; 199 ; 150 ; 0.7537688442211056 ; 49 ; 48 ; 1
103 ; 900 ; 824 ; 194 ; 145 ; 0.7474226804123711 ; 49 ; 49 ; 1
103 ; 900 ; 844 ; 189 ; 144 ; 0.7619047619047619 ; 45 ; 44 ; 1
103 ; 900 ; 864 ; 185 ; 139 ; 0.7513513513513513 ; 46 ; 45 ; 1
103 ; 900 ; 884 ; 180 ; 140 ; 0.7777777777777778 ; 40 ; 40 ; 1
103 ; 900 ; 904 ; 176 ; 135 ; 0.7670454545454546 ; 41 ; 41 ; 1
103 ; 900 ; 924 ; 173 ; 137 ; 0.791907514450867 ; 36 ; 36 ; 1
103 ; 900 ; 944 ; 169 ; 131 ; 0.7751479289940828 ; 38 ; 38 ; 1
103 ; 900 ; 964 ; 165 ; 132 ; 0.8 ; 33 ; 32 ; 1
103 ; 900 ; 984 ; 162 ; 129 ; 0.7962962962962963 ; 33 ; 32 ; 1
103 ; 950 ; 784 ; 204 ; 142 ; 0.696078431372549 ; 62 ; 62 ; 0
103 ; 950 ; 804 ; 199 ; 146 ; 0.7336683417085427 ; 53 ; 53 ; 0
103 ; 950 ; 824 ; 194 ; 142 ; 0.7319587628865979 ; 52 ; 52 ; 0
103 ; 950 ; 844 ; 189 ; 141 ; 0.746031746031746 ; 48 ; 48 ; 0
103 ; 950 ; 864 ; 185 ; 136 ; 0.7351351351351352 ; 49 ; 49 ; 0
103 ; 950 ; 884 ; 180 ; 136 ; 0.7555555555555555 ; 44 ; 44 ; 0
103 ; 950 ; 904 ; 176 ; 133 ; 0.7556818181818182 ; 43 ; 43 ; 0
103 ; 950 ; 924 ; 173 ; 135 ; 0.7803468208092486 ; 38 ; 38 ; 0
103 ; 950 ; 944 ; 169 ; 128 ; 0.757396449704142 ; 41 ; 41 ; 0
103 ; 950 ; 964 ; 165 ; 130 ; 0.7878787878787878 ; 35 ; 35 ; 0
103 ; 950 ; 984 ; 162 ; 127 ; 0.7839506172839507 ; 35 ; 35 ; 0
103 ; 1000 ; 784 ; 204 ; 129 ; 0.6323529411764706 ; 75 ; 75 ; 0
103 ; 1000 ; 804 ; 199 ; 129 ; 0.6482412060301508 ; 70 ; 70 ; 0
103 ; 1000 ; 824 ; 194 ; 126 ; 0.6494845360824743 ; 68 ; 68 ; 0
